id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148771";"2021-06-01";"1";"Vente";"394000.0";"1.0";"None";"RUE D'HOUAT";"0249";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0392";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"113.0";"5.0";"S";"sols";"None";"None";"198.0";"-1.654061";"48.184029";"000AD"
"2021-148771";"2021-06-01";"1";"Vente";"394000.0";"1.0";"None";"RUE D'HOUAT";"0249";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0370";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"127.0";"-1.653974";"48.184031";"000AD"
"2021-148207";"2021-05-21";"1";"Vente en l'état futur d'achèvement";"164000.0";"25.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0052";"None";"None";"11";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.651013";"48.183942";"000AD"
"2021-148207";"2021-05-21";"1";"Vente en l'état futur d'achèvement";"164000.0";"25.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0052";"None";"None";"48";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.651013";"48.183942";"000AD"
"2021-148660";"2021-05-20";"1";"Vente";"188578.0";"1.0";"None";"RUE DU TRIEUX";"0227";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0274";"None";"None";"9";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"61.0";"3.0";"None";"None";"None";"None";"nan";"-1.651256";"48.183578";"000AD"
"2021-148660";"2021-05-20";"1";"Vente";"188578.0";"1.0";"None";"RUE DU TRIEUX";"0227";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0274";"None";"None";"29";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.651256";"48.183578";"000AD"
"2021-148848";"2021-05-07";"1";"Vente";"178055.0";"13.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"32";"63.01";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-148848";"2021-05-07";"1";"Vente";"178055.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"72";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-147938";"2021-05-05";"1";"Vente";"215000.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"10";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"77.0";"4.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-147938";"2021-05-05";"1";"Vente";"215000.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"68";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-147938";"2021-05-05";"1";"Vente";"215000.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"50";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-147840";"2021-05-04";"1";"Vente";"248000.0";"32.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0170";"None";"None";"1";"75.15";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"75.0";"4.0";"None";"None";"None";"None";"nan";"-1.651585";"48.184359";"000AD"
"2021-147840";"2021-05-04";"1";"Vente";"248000.0";"32.0";"B";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0170";"None";"None";"21";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.651585";"48.184359";"000AD"
"2021-147211";"2021-04-12";"1";"Vente";"153000.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"4";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"46.0";"2.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-147211";"2021-04-12";"1";"Vente";"153000.0";"9.0";"None";"RUE DU BLAVET";"0191";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0286";"None";"None";"44";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.653058";"48.185029";"000AD"
"2021-146771";"2021-03-26";"1";"Vente en l'état futur d'achèvement";"157000.0";"25.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0052";"None";"None";"1";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.651013";"48.183942";"000AD"
"2021-146771";"2021-03-26";"1";"Vente en l'état futur d'achèvement";"157000.0";"25.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0052";"None";"None";"50";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.651013";"48.183942";"000AD"
"2021-146654";"2021-03-25";"1";"Vente";"257200.0";"24.0";"None";"RUE D'OUESSANT";"0245";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0445";"None";"None";"1";"75.1";"7";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"75.0";"4.0";"None";"None";"None";"None";"nan";"-1.656985";"48.185155";"000AD"
"2021-146654";"2021-03-25";"1";"Vente";"257200.0";"24.0";"None";"RUE D'OUESSANT";"0245";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0445";"None";"None";"28";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.656985";"48.185155";"000AD"
"2021-146378";"2021-03-15";"1";"Vente en l'état futur d'achèvement";"411500.0";"25.0";"None";"RUE DU TREGOR";"0130";"35830";"35024";"Betton";"35";"None";"None";"35024000AD0052";"None";"None";"21";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.651013";"48.183942";"000AD"
