id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149179";"2021-06-23";"1";"Vente";"352000.0";"1.0";"None";"ALL DE VARSOVIE";"0219";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0664";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"97.0";"5.0";"S";"sols";"None";"None";"346.0";"-1.659896";"48.179721";"000AE"
"2021-148647";"2021-06-01";"1";"Vente";"325000.0";"3.0";"None";"RUE DE BERLIN";"0221";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0678";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"5.0";"S";"sols";"None";"None";"239.0";"-1.659997";"48.179175";"000AE"
"2021-148541";"2021-05-31";"1";"Vente";"225002.0";"34.0";"None";"RUE DE LONDRES";"0215";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0696";"None";"None";"3";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.661401";"48.181639";"000AE"
"2021-148541";"2021-05-31";"1";"Vente";"225002.0";"34.0";"None";"RUE DE LONDRES";"0215";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0696";"None";"None";"15";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.661401";"48.181639";"000AE"
"2021-148541";"2021-05-31";"1";"Vente";"225002.0";"34.0";"None";"RUE DE LONDRES";"0215";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0696";"None";"None";"16";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.661401";"48.181639";"000AE"
"2021-148972";"2021-05-27";"1";"Vente";"225000.0";"32.0";"None";"RUE DE LONDRES";"0215";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0696";"None";"None";"9";"68.67";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"69.0";"3.0";"None";"None";"None";"None";"nan";"-1.661401";"48.181639";"000AE"
"2021-148972";"2021-05-27";"1";"Vente";"225000.0";"32.0";"None";"RUE DE LONDRES";"0215";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0696";"None";"None";"24";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.661401";"48.181639";"000AE"
"2021-148234";"2021-05-17";"1";"Vente";"437000.0";"20.0";"None";"RUE DE BERLIN";"0221";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0544";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"111.0";"5.0";"S";"sols";"None";"None";"462.0";"-1.659218";"48.179673";"000AE"
"2021-147947";"2021-04-30";"1";"Vente";"315000.0";"25.0";"None";"RUE JACQUES CASSARD";"0073";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0153";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"403.0";"-1.653854";"48.180226";"000AE"
"2021-147223";"2021-04-15";"1";"Vente";"257000.0";"23.0";"None";"RUE JACQUES CARTIER";"0071";"35830";"35024";"Betton";"35";"None";"None";"35024000AE0084";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"86.0";"4.0";"S";"sols";"None";"None";"415.0";"-1.654604";"48.181851";"000AE"
