id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-435965";"2020-06-03";"1";"Vente";"564900.0";"23.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"189.0";"6.0";"S";"sols";"None";"None";"486.0";"-1.646957";"48.176068";"000AH"
"2020-433213";"2020-01-31";"1";"Vente";"508400.0";"29.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"159.0";"6.0";"S";"sols";"None";"None";"442.0";"-1.647195";"48.175268";"000AH"
"2020-433213";"2020-01-31";"1";"Vente";"508400.0";"29.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0106";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"59.0";"-1.6472";"48.175138";"000AH"
"2019-527768";"2019-11-15";"1";"Vente";"336386.0";"5.0";"None";"RUE THEODORE BOTREL";"0123";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0004";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"104.0";"5.0";"S";"sols";"None";"None";"820.0";"-1.651727";"48.17905";"000AH"
"2019-521945";"2019-05-02";"1";"Vente";"320000.0";"25.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0109";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"176.0";"8.0";"S";"sols";"None";"None";"583.0";"-1.646676";"48.176042";"000AH"
"2019-519376";"2019-01-15";"1";"Vente";"545000.0";"31.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"200.0";"6.0";"S";"sols";"None";"None";"900.0";"-1.646722";"48.17512";"000AH"
"2019-519376";"2019-01-15";"1";"Vente";"545000.0";"31.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"200.0";"6.0";"AG";"terrains d'agrément";"None";"None";"1572.0";"-1.646722";"48.17512";"000AH"
"2019-519376";"2019-01-15";"1";"Vente";"545000.0";"nan";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0108";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"11.0";"-1.647104";"48.175155";"000AH"
"2017-497083";"2017-11-07";"1";"Vente";"265000.0";"25.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0111";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"2849.0";"-1.64575";"48.175815";"000AH"
"2017-495541";"2017-09-22";"1";"Vente";"455000.0";"6.0";"None";"ALL DU VERGER";"0143";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"165.0";"7.0";"AG";"terrains d'agrément";"None";"None";"997.0";"-1.650563";"48.177209";"000AH"
"2017-495541";"2017-09-22";"1";"Vente";"455000.0";"6.0";"None";"ALL DU VERGER";"0143";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"165.0";"7.0";"S";"sols";"None";"None";"600.0";"-1.650563";"48.177209";"000AH"
"2017-493566";"2017-07-07";"1";"Vente";"489363.0";"21.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0098";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"273.0";"-1.646436";"48.176616";"000AH"
"2017-493566";"2017-07-07";"1";"Vente";"489363.0";"21.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0099";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"-1.646548";"48.176901";"000AH"
"2017-493566";"2017-07-07";"1";"Vente";"489363.0";"21.0";"None";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0100";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"27.0";"-1.646369";"48.176404";"000AH"
"2017-491831";"2017-05-22";"1";"Vente";"450000.0";"5.0";"None";"RUE TRISTAN CORBIERE";"0131";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0008";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"193.0";"6.0";"S";"sols";"None";"None";"842.0";"-1.652012";"48.178072";"000AH"
"2017-491831";"2017-05-22";"1";"Vente";"450000.0";"nan";"None";"RUE TRISTAN CORBIERE";"0131";"35830";"35024";"Betton";"35";"None";"None";"35024000AH0009";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"822.0";"-1.651709";"48.178027";"000AH"
