id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148216";"2021-05-05";"1";"Vente";"110000.0";"10.0";"C";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0351";"None";"None";"11";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"28.0";"2.0";"None";"None";"None";"None";"nan";"-1.645036";"48.181319";"000AI"
"2021-148216";"2021-05-05";"1";"Vente";"110000.0";"10.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0351";"None";"None";"36";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.645036";"48.181319";"000AI"
"2020-440740";"2020-12-03";"1";"Vente";"270000.0";"42.0";"None";"AV D ARMORIQUE";"0010";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0254";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"101.0";"5.0";"S";"sols";"None";"None";"411.0";"-1.645527";"48.182852";"000AI"
"2020-436948";"2020-07-15";"1";"Vente";"730000.0";"16.0";"None";"RUE DU PARC";"0100";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0164";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"255.0";"8.0";"S";"sols";"None";"None";"400.0";"-1.648623";"48.180662";"000AI"
"2020-436948";"2020-07-15";"1";"Vente";"730000.0";"16.0";"None";"RUE DU PARC";"0100";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0164";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"255.0";"8.0";"AG";"terrains d'agrément";"None";"None";"1114.0";"-1.648623";"48.180662";"000AI"
"2020-435812";"2020-06-01";"1";"Vente";"650000.0";"14.0";"None";"RUE DU PARC";"0100";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0165";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"162.0";"9.0";"S";"sols";"None";"None";"310.0";"-1.648006";"48.180689";"000AI"
"2020-435812";"2020-06-01";"1";"Vente";"650000.0";"14.0";"None";"RUE DU PARC";"0100";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0165";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"162.0";"9.0";"J";"jardins";"POTAG";"Jardin potager";"1130.0";"-1.648006";"48.180689";"000AI"
"2020-435277";"2020-05-15";"1";"Vente";"170000.0";"12.0";"None";"RUE DU CLOS DE LA QUINTAINE";"0046";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0118";"None";"None";"2";"71.12";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"3.0";"None";"None";"None";"None";"nan";"-1.645236";"48.181703";"000AI"
"2020-434996";"2020-04-30";"1";"Vente";"120000.0";"10.0";"C";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0351";"None";"None";"9";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"-1.645036";"48.181319";"000AI"
"2020-434996";"2020-04-30";"1";"Vente";"120000.0";"10.0";"B";"RUE DU VAU CHALET";"0140";"35830";"35024";"Betton";"35";"None";"None";"35024000AI0351";"None";"None";"39";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.645036";"48.181319";"000AI"
