id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148641";"2021-06-01";"1";"Vente";"265000.0";"8.0";"None";"RUE DES MONTS D ARREE";"0083";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0111";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"5.0";"S";"sols";"None";"None";"297.0";"-1.647555";"48.184436";"000AK"
"2021-147836";"2021-05-10";"1";"Vente";"195000.0";"10.0";"None";"RUE DE LA COTE D EMERAUDE";"0040";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0383";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"4.0";"S";"sols";"None";"None";"477.0";"-1.647192";"48.185648";"000AK"
"2021-147836";"2021-05-10";"1";"Vente";"195000.0";"10.0";"None";"RUE DE LA COTE D EMERAUDE";"0040";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0383";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"nan";"0.0";"S";"sols";"None";"None";"477.0";"-1.647192";"48.185648";"000AK"
"2021-147941";"2021-05-05";"1";"Vente";"308000.0";"5.0";"None";"IMP DU LEON";"0075";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0090";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"295.0";"-1.645352";"48.185082";"000AK"
"2021-147057";"2021-04-12";"1";"Vente";"262200.0";"16.0";"None";"RUE DU HUIT MAI 1945";"0074";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0101";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"270.0";"-1.64654";"48.184702";"000AK"
"2021-145704";"2021-02-10";"1";"Vente";"305000.0";"13.0";"None";"RUE DU COTEAU";"0036";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0150";"None";"None";"125";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"139.0";"6.0";"None";"None";"None";"None";"nan";"-1.643835";"48.185717";"000AK"
"2020-440921";"2020-12-09";"1";"Vente";"251000.0";"6189.0";"None";"CTRE COMMERCIAL DU TREGOR";"A038";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0337";"None";"None";"19";"133.0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"140.0";"0.0";"None";"None";"None";"None";"nan";"-1.64542";"48.183735";"000AK"
"2020-438839";"2020-09-11";"1";"Vente";"536000.0";"14.0";"None";"ALL DES CORMORANS";"0032";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0264";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"180.0";"5.0";"S";"sols";"None";"None";"608.0";"-1.645617";"48.186236";"000AK"
"2020-437372";"2020-07-08";"1";"Vente";"218000.0";"16.0";"None";"RUE ABBE BESNARD";"0002";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0055";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"77.0";"4.0";"S";"sols";"None";"None";"513.0";"-1.644388";"48.183883";"000AK"
"2020-436903";"2020-07-02";"1";"Vente";"365000.0";"2.0";"None";"RUE ABBE BESNARD";"0002";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0062";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"180.0";"-1.644018";"48.18324";"000AK"
"2020-435736";"2020-06-05";"1";"Vente";"220000.0";"1.0";"None";"RUE ABBE BESNARD";"0002";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0068";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"97.0";"5.0";"S";"sols";"None";"None";"572.0";"-1.64419";"48.183539";"000AK"
"2020-435929";"2020-06-04";"1";"Vente";"250000.0";"2.0";"None";"IMP DU LEON";"0075";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0082";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"275.0";"-1.645012";"48.184726";"000AK"
"2020-433951";"2020-02-14";"1";"Vente";"250000.0";"22.0";"None";"RUE DU HUIT MAI 1945";"0074";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0104";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"256.0";"-1.646815";"48.184459";"000AK"
"2020-439799";"2020-02-06";"2";"Vente";"200000.0";"10.0";"None";"RUE DE LA COTE D EMERAUDE";"0040";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0383";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"4.0";"None";"None";"None";"None";"nan";"-1.647192";"48.185648";"000AK"
"2020-439799";"2020-02-06";"2";"Vente";"200000.0";"10.0";"None";"RUE DE LA COTE D EMERAUDE";"0040";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0383";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.647192";"48.185648";"000AK"
"2020-433353";"2020-01-20";"1";"Vente";"250000.0";"37.0";"None";"RUE DU COTEAU";"0036";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0140";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"88.0";"5.0";"S";"sols";"None";"None";"650.0";"-1.646789";"48.185567";"000AK"
"2020-432993";"2020-01-13";"1";"Vente";"315458.0";"15.0";"None";"RUE DU COTEAU";"0036";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0150";"None";"None";"123";"140.0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"139.0";"6.0";"None";"None";"None";"None";"nan";"-1.643835";"48.185717";"000AK"
"2019-527725";"2019-11-20";"1";"Vente";"245000.0";"18.0";"None";"ALL DES MOUETTES";"0090";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0150";"None";"None";"114";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"110.0";"5.0";"None";"None";"None";"None";"nan";"-1.643835";"48.185717";"000AK"
"2019-527131";"2019-10-17";"1";"Vente terrain à bâtir";"64872.0";"16.0";"None";"RUE DES MACAREUX";"0268";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0378";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"9.0";"-1.644387";"48.187095";"000AK"
"2019-527131";"2019-10-17";"1";"Vente terrain à bâtir";"64872.0";"16.0";"None";"RUE DES MACAREUX";"0268";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0352";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"227.0";"-1.644304";"48.187024";"000AK"
"2019-527131";"2019-10-17";"1";"Vente terrain à bâtir";"64872.0";"16.0";"None";"RUE DES MACAREUX";"0268";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0348";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"82.0";"-1.644339";"48.187166";"000AK"
"2019-526262";"2019-09-17";"1";"Vente";"238500.0";"6.0";"None";"ALL DES MOUETTES";"0090";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0150";"None";"None";"108";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"77.0";"4.0";"None";"None";"None";"None";"nan";"-1.643835";"48.185717";"000AK"
"2019-526171";"2019-09-11";"1";"Vente";"58140.0";"2.0";"None";"ALL DES STERNES";"0270";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0366";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"285.0";"-1.645677";"48.18678";"000AK"
"2019-526126";"2019-09-11";"1";"Vente";"60180.0";"4.0";"None";"RUE DES MACAREUX";"0268";"35830";"35024";"Betton";"35";"None";"None";"35024000AK0365";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"295.0";"-1.64558";"48.186913";"000AK"
