id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149093";"2021-06-04";"1";"Vente";"155000.0";"16.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0125";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"180.0";"0.0";"S";"sols";"None";"None";"1214.0";"-1.632162";"48.187493";"000AM"
"2021-148154";"2021-05-28";"1";"Vente";"270000.0";"23.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0098";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"66.0";"4.0";"S";"sols";"None";"None";"367.0";"-1.632899";"48.187666";"000AM"
"2021-148154";"2021-05-28";"1";"Vente";"270000.0";"nan";"None";"PIECE MICHEL";"B868";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0100";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"288.0";"-1.632576";"48.187664";"000AM"
"2021-147154";"2021-04-01";"1";"Vente";"297400.0";"25.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0009";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"67.0";"4.0";"S";"sols";"None";"None";"531.0";"-1.632874";"48.187745";"000AM"
"2021-147154";"2021-04-01";"1";"Vente";"297400.0";"nan";"None";"PIECE MICHEL";"B868";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0100";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"288.0";"-1.632576";"48.187664";"000AM"
"2020-440170";"2020-10-30";"1";"Vente";"370000.0";"22.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0216";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"706.0";"-1.631463";"48.188474";"000AM"
"2020-439081";"2020-09-30";"2";"Vente";"155000.0";"22.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0215";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"130.0";"5.0";"S";"sols";"None";"None";"554.0";"-1.631241";"48.188484";"000AM"
"2020-439083";"2020-09-07";"1";"Vente";"315000.0";"29.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0096";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"378.0";"-1.632712";"48.187882";"000AM"
"2020-439083";"2020-09-07";"1";"Vente";"315000.0";"nan";"None";"PIECE MICHEL";"B868";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0100";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"288.0";"-1.632576";"48.187664";"000AM"
"2020-437407";"2020-07-21";"1";"Vente";"155400.0";"4.0";"None";"RUE DES BALANCIERS";"0013";"35830";"35024";"Betton";"35";"None";"None";"35024000AM0079";"None";"None";"88";"44.51";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"-1.631288";"48.186065";"000AM"
