id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149068";"2021-06-01";"1";"Vente";"413270.0";"28.0";"B";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0265";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"141.0";"6.0";"S";"sols";"None";"None";"331.0";"-1.625941";"48.189913";"000AN"
"2021-148499";"2021-05-28";"1";"Vente";"480000.0";"85.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0164";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"149.0";"6.0";"S";"sols";"None";"None";"542.0";"-1.628588";"48.191584";"000AN"
"2021-145946";"2021-02-19";"1";"Vente";"154500.0";"nan";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0274";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"472.0";"-1.625541";"48.189518";"000AN"
"2020-440987";"2020-12-08";"1";"Vente";"130000.0";"nan";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0273";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"502.0";"-1.625971";"48.189493";"000AN"
"2020-439582";"2020-10-20";"1";"Vente";"135000.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0269";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"223.0";"-1.625902";"48.189725";"000AN"
"2020-439582";"2020-10-20";"1";"Vente";"135000.0";"nan";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0272";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"244.0";"-1.625941";"48.189663";"000AN"
"2020-434744";"2020-04-10";"1";"Vente";"250.0";"nan";"None";"ALL DES ECLUSIERS";"0267";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0266";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"60.0";"-1.626576";"48.189832";"000AN"
"2020-434744";"2020-04-10";"1";"Vente";"250.0";"nan";"None";"ALL DES ECLUSIERS";"0267";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0267";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"600.0";"-1.626674";"48.190152";"000AN"
"2020-434744";"2020-04-10";"1";"Vente";"250.0";"nan";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0268";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"11.0";"-1.626242";"48.190071";"000AN"
"2020-434594";"2020-04-03";"1";"Vente";"72000.0";"28.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0264";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"35.0";"1.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AN"
"2020-434429";"2020-03-27";"1";"Vente";"288000.0";"69.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"5.0";"S";"sols";"None";"None";"883.0";"-1.630108";"48.190579";"000AN"
"2019-529035";"2019-12-27";"2";"Vente";"455000.0";"26.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0271";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"115.0";"4.0";"None";"None";"None";"None";"nan";"-1.625713";"48.189591";"000AN"
"2019-529035";"2019-12-27";"2";"Vente";"455000.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0269";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"223.0";"-1.625902";"48.189725";"000AN"
"2019-529035";"2019-12-27";"2";"Vente";"455000.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0270";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"277.0";"-1.625767";"48.189729";"000AN"
"2019-527980";"2019-11-29";"1";"Vente";"225000.0";"61.0";"None";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0091";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"5.0";"S";"sols";"None";"None";"322.0";"-1.629337";"48.190485";"000AN"
"2019-527007";"2019-11-07";"1";"Vente";"239000.0";"2.0";"None";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0097";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"400.0";"-1.628396";"48.190396";"000AN"
"2019-525306";"2019-08-14";"1";"Vente";"260000.0";"7.0";"B";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0084";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"5.0";"S";"sols";"None";"None";"281.0";"-1.627946";"48.190875";"000AN"
"2019-525306";"2019-08-14";"1";"Vente";"260000.0";"7.0";"B";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"23.0";"-1.627868";"48.190987";"000AN"
"2019-524228";"2019-07-29";"1";"Vente";"300000.0";"12.0";"None";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0104";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"5.0";"S";"sols";"None";"None";"285.0";"-1.627622";"48.19052";"000AN"
"2019-524685";"2019-07-29";"1";"Vente";"260000.0";"6.0";"None";"RUE DES BATELIERS";"0015";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0100";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"86.0";"4.0";"S";"sols";"None";"None";"331.0";"-1.62809";"48.190478";"000AN"
"2019-522419";"2019-06-06";"1";"Vente";"267500.0";"2.0";"None";"RUE DES CHALANDS";"0042";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0023";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"130.0";"6.0";"S";"sols";"None";"None";"661.0";"-1.627812";"48.191515";"000AN"
"2019-522841";"2019-06-03";"1";"Vente";"330000.0";"79.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0167";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"286.0";"-1.629025";"48.191254";"000AN"
"2019-522841";"2019-06-03";"1";"Vente";"330000.0";"79.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"12.0";"-1.628958";"48.1912";"000AN"
"2019-522841";"2019-06-03";"1";"Vente";"330000.0";"79.0";"None";"RUE DE LA FORGE";"0060";"35830";"35024";"Betton";"35";"None";"None";"35024000AN0161";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"9.0";"-1.62904";"48.191147";"000AN"
