id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148666";"2021-06-02";"1";"Vente";"249003.0";"6.0";"None";"RUE DES GABARES";"0239";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0251";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"83.0";"4.0";"S";"sols";"None";"None";"220.0";"-1.625517";"48.193378";"000AO"
"2021-148237";"2021-05-17";"1";"Vente";"196500.0";"1.0";"None";"ALL DES PENETTES";"0242";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0220";"None";"None";"25";"71.84";"40";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"71.0";"4.0";"None";"None";"None";"None";"nan";"-1.627159";"48.193891";"000AO"
"2021-148237";"2021-05-17";"1";"Vente";"196500.0";"1.0";"None";"ALL DES PENETTES";"0242";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0220";"None";"None";"71";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.627159";"48.193891";"000AO"
"2021-148237";"2021-05-17";"1";"Vente";"196500.0";"1.0";"None";"ALL DES PENETTES";"0242";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0220";"None";"None";"70";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.627159";"48.193891";"000AO"
"2021-147770";"2021-04-23";"1";"Vente";"302000.0";"20.0";"None";"RUE DES GABARES";"0239";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0262";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4.0";"S";"sols";"None";"None";"239.0";"-1.626619";"48.193385";"000AO"
"2021-147770";"2021-04-23";"1";"Vente";"302000.0";"20.0";"None";"RUE DES GABARES";"0239";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0262";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"7.0";"0.0";"S";"sols";"None";"None";"239.0";"-1.626619";"48.193385";"000AO"
"2021-147770";"2021-04-23";"1";"Vente";"302000.0";"20.0";"None";"RUE DES GABARES";"0239";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0257";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"20.0";"-1.626523";"48.193444";"000AO"
"2021-145899";"2021-02-16";"1";"Vente";"302000.0";"9001.0";"None";"LE LANDRET";"B729";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0032";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"124.0";"8.0";"S";"sols";"None";"None";"595.0";"-1.623289";"48.1933";"000AO"
"2021-145996";"2021-02-08";"1";"Vente";"425000.0";"5.0";"None";"RUE DE LA ROBINAIS";"0190";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0280";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"168.0";"5.0";"S";"sols";"None";"None";"963.0";"-1.627292";"48.192688";"000AO"
"2021-145996";"2021-02-08";"1";"Vente";"425000.0";"5.0";"None";"RUE DE LA ROBINAIS";"0190";"35830";"35024";"Betton";"35";"None";"None";"35024000AO0280";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"168.0";"5.0";"AG";"terrains d'agrément";"None";"None";"937.0";"-1.627292";"48.192688";"000AO"
