id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149633";"2021-06-25";"1";"Vente";"108100.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0237";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"460.0";"-1.626698";"48.184508";"000AP"
"2021-149630";"2021-06-25";"1";"Vente";"52500.0";"nan";"None";"CHAMP VELOPE";"B293";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0192";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"275.0";"-1.626553";"48.183611";"000AP"
"2021-149634";"2021-06-24";"1";"Vente";"79030.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0231";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"354.0";"-1.62639";"48.184297";"000AP"
"2021-149662";"2021-06-23";"1";"Vente";"52500.0";"nan";"None";"CHAMP VELOPE";"B293";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0189";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"275.0";"-1.626152";"48.183576";"000AP"
"2021-149632";"2021-06-21";"1";"Vente";"82720.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"352.0";"-1.627214";"48.182727";"000AP"
"2021-149629";"2021-06-21";"1";"Vente";"52500.0";"nan";"None";"CHAMP VELOPE";"B293";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0190";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"275.0";"-1.626304";"48.183582";"000AP"
"2021-149636";"2021-06-16";"1";"Vente";"99875.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0247";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"425.0";"-1.625942";"48.182932";"000AP"
"2021-149682";"2021-06-15";"1";"Vente";"87655.0";"nan";"None";"CHAMP D AHAUT";"B111";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0209";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"373.0";"-1.62766";"48.184478";"000AP"
"2020-441943";"2020-12-30";"1";"Echange";"95410.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0221";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"163.0";"-1.626728";"48.184018";"000AP"
"2020-441671";"2020-12-30";"1";"Vente";"388880.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0179";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"896.0";"-1.627642";"48.182471";"000AP"
"2020-441943";"2020-12-30";"2";"Echange";"95410.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0230";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"191.0";"-1.626539";"48.184279";"000AP"
"2020-441943";"2020-12-30";"2";"Echange";"95410.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0228";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"39.0";"-1.626462";"48.184051";"000AP"
"2020-441943";"2020-12-30";"2";"Echange";"95410.0";"nan";"None";"CHAMP VELOPE";"B293";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"176.0";"-1.626498";"48.183876";"000AP"
"2020-441943";"2020-12-30";"1";"Echange";"95410.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0224";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"47.0";"-1.626772";"48.184129";"000AP"
"2020-441943";"2020-12-30";"1";"Echange";"95410.0";"nan";"None";"CHAMP MELE";"B259";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0222";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"192.0";"-1.62674";"48.184173";"000AP"
"2020-437361";"2020-07-22";"1";"Vente";"95625.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0168";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"337.0";"-1.626017";"48.182354";"000AP"
"2019-529158";"2019-12-31";"1";"Vente";"83700.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0173";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"277.0";"-1.626851";"48.182407";"000AP"
"2019-529042";"2019-12-27";"1";"Vente";"83700.0";"nan";"None";"LE CHAMP ENVELOPPE";"B229";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0171";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"295.0";"-1.626544";"48.182352";"000AP"
"2019-520898";"2019-03-29";"1";"Vente";"202500.0";"9005.0";"None";"LA HAMONAIS";"B642";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0085";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"52.0";"3.0";"AG";"terrains d'agrément";"None";"None";"243.0";"nan";"nan";"000AP"
"2019-520898";"2019-03-29";"1";"Vente";"202500.0";"9005.0";"None";"LA HAMONAIS";"B642";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0085";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"52.0";"3.0";"S";"sols";"None";"None";"614.0";"nan";"nan";"000AP"
"2019-520915";"2019-03-25";"1";"Vente";"190000.0";"12.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"54.0";"3.0";"S";"sols";"None";"None";"897.0";"-1.628023";"48.186663";"000AP"
"2019-520915";"2019-03-25";"1";"Vente";"190000.0";"12.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"73.0";"4.0";"S";"sols";"None";"None";"897.0";"-1.628023";"48.186663";"000AP"
"2019-520915";"2019-03-25";"1";"Vente";"190000.0";"12.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"51.0";"2.0";"S";"sols";"None";"None";"897.0";"-1.628023";"48.186663";"000AP"
"2019-520915";"2019-03-25";"1";"Vente";"190000.0";"12.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"897.0";"-1.628023";"48.186663";"000AP"
"2019-520915";"2019-03-25";"1";"Vente";"190000.0";"12.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"897.0";"-1.628023";"48.186663";"000AP"
"2019-519578";"2019-02-05";"1";"Vente";"364990.0";"nan";"None";"CHAMP D AHAUT";"B111";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0035";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"11587.0";"nan";"nan";"000AP"
"2019-519578";"2019-02-05";"1";"Vente";"364990.0";"nan";"None";"CHAMP DE LA FORGE";"B129";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0040";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"13991.0";"-1.628678";"48.184547";"000AP"
"2018-493717";"2018-12-21";"2";"Echange";"6300.0";"nan";"None";"LE CHAMP AUX MOINES";"B085";"35830";"35024";"Betton";"35";"None";"None";"35024000AP0166";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"700.0";"-1.628824";"48.183505";"000AP"
