id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-146789";"2021-03-11";"1";"Vente";"150000.0";"10.0";"None";"ALL ANNE FRANK";"0279";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0268";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"350.0";"-1.628784";"48.181674";"000AR"
"2021-145955";"2021-02-12";"1";"Vente";"330000.0";"1.0";"None";"RUE DU RUISSEAU";"0185";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0090";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"67.0";"4.0";"S";"sols";"None";"None";"777.0";"-1.630404";"48.177801";"000AR"
"2021-145955";"2021-02-12";"1";"Vente";"330000.0";"1.0";"None";"RUE DU RUISSEAU";"0185";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0090";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"777.0";"-1.630404";"48.177801";"000AR"
"2021-145955";"2021-02-12";"1";"Vente";"330000.0";"1.0";"None";"RUE DU RUISSEAU";"0185";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0091";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"149.0";"-1.630552";"48.177869";"000AR"
"2021-145955";"2021-02-12";"1";"Vente";"330000.0";"1.0";"None";"RUE DU RUISSEAU";"0185";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0092";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"64.0";"-1.630547";"48.177984";"000AR"
"2021-145955";"2021-02-12";"1";"Vente";"330000.0";"1.0";"None";"RUE DU RUISSEAU";"0185";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0093";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1.0";"-1.630359";"48.178052";"000AR"
"2021-145460";"2021-01-21";"1";"Vente";"72450.0";"11.0";"None";"ALL ANNE FRANK";"0279";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0325";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"199.0";"-1.628783";"48.181453";"000AR"
"2021-145460";"2021-01-21";"1";"Vente";"72450.0";"11.0";"None";"ALL ANNE FRANK";"0279";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0322";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"123.0";"-1.628843";"48.18135";"000AR"
"2020-441671";"2020-12-30";"1";"Vente";"388880.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0332";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"1401.0";"-1.62777";"48.182265";"000AR"
"2020-438188";"2020-09-03";"1";"Vente";"72450.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0292";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"105.0";"-1.62679";"48.181154";"000AR"
"2020-438188";"2020-09-03";"1";"Vente";"72450.0";"nan";"None";"CHAMP BRUEZIERE";"B097";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0254";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"217.0";"-1.626757";"48.181251";"000AR"
"2020-437387";"2020-07-29";"1";"Vente";"150000.0";"nan";"None";"CHAMP BRUEZIERE";"B097";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0267";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"350.0";"-1.62857";"48.18162";"000AR"
"2020-437361";"2020-07-22";"1";"Vente";"95625.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"88.0";"-1.626084";"48.182219";"000AR"
"2020-436475";"2020-06-22";"1";"Vente";"90300.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0246";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"301.0";"-1.627012";"48.182028";"000AR"
"2020-435487";"2020-05-20";"1";"Vente";"69075.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0328";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"6.0";"-1.628582";"48.181306";"000AR"
"2020-435487";"2020-05-20";"1";"Vente";"69075.0";"nan";"None";"CHAMP BRUEZIERE";"B097";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0326";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"197.0";"-1.628589";"48.18143";"000AR"
"2020-435487";"2020-05-20";"1";"Vente";"69075.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0323";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"104.0";"-1.628672";"48.181338";"000AR"
"2020-435264";"2020-05-14";"1";"Vente";"90300.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0245";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"301.0";"-1.626863";"48.182022";"000AR"
"2020-434702";"2020-04-10";"1";"Vente";"90000.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0247";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"300.0";"-1.627161";"48.182034";"000AR"
"2020-434424";"2020-03-06";"1";"Vente";"66375.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0297";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"90.0";"-1.628004";"48.181221";"000AR"
"2020-434424";"2020-03-06";"1";"Vente";"66375.0";"nan";"None";"CHAMP BRUEZIERE";"B097";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0272";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"205.0";"-1.627966";"48.181308";"000AR"
"2020-433761";"2020-02-05";"1";"Vente";"57825.0";"nan";"None";"CHAMP BRUEZIERE";"B097";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0260";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"257.0";"-1.627069";"48.181495";"000AR"
"2020-433763";"2020-02-04";"1";"Vente";"69525.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0285";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"309.0";"-1.627454";"48.18095";"000AR"
"2020-433359";"2020-01-27";"1";"Vente";"90600.0";"nan";"None";"LE BIGNON";"B034";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0244";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"302.0";"-1.626714";"48.182016";"000AR"
"2020-433362";"2020-01-24";"1";"Vente";"76950.0";"nan";"None";"LE GRAND CLOS";"B569";"35830";"35024";"Betton";"35";"None";"None";"35024000AR0276";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"342.0";"-1.62742";"48.180687";"000AR"
