id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148456";"2021-05-31";"1";"Vente";"150000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0572";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"4.0";"S";"sols";"None";"None";"249.0";"-1.637675";"48.178813";"000AS"
"2021-148456";"2021-05-31";"1";"Vente";"150000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0572";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"249.0";"-1.637675";"48.178813";"000AS"
"2021-148456";"2021-05-31";"1";"Vente";"150000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0572";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"249.0";"-1.637675";"48.178813";"000AS"
"2021-148456";"2021-05-31";"1";"Vente";"150000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0575";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"25.0";"-1.637721";"48.178712";"000AS"
"2021-148351";"2021-05-10";"1";"Vente";"131250.0";"8.0";"None";"RUE DES CHENES";"0028";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0265";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"87.0";"4.0";"S";"sols";"None";"None";"598.0";"-1.634196";"48.179514";"000AS"
"2021-147764";"2021-04-19";"1";"Vente";"150000.0";"nan";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0048";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"274.0";"-1.637393";"48.180147";"000AS"
"2021-147909";"2021-04-15";"1";"Vente";"270000.0";"7.0";"None";"ALL DES VIOLETTES";"0150";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0127";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"416.0";"-1.632437";"48.180216";"000AS"
"2021-147159";"2021-04-01";"1";"Vente";"135000.0";"4.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0058";"None";"None";"22";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"49.0";"3.0";"None";"None";"None";"None";"nan";"-1.636831";"48.18068";"000AS"
"2021-147159";"2021-04-01";"1";"Vente";"135000.0";"4.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0058";"None";"None";"110";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.636831";"48.18068";"000AS"
"2021-147146";"2021-04-01";"1";"Vente";"175000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0573";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"245.0";"-1.637883";"48.178832";"000AS"
"2021-147146";"2021-04-01";"1";"Vente";"175000.0";"1.0";"None";"ALL DU CHENE FLAUX";"0029";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0574";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"26.0";"-1.637927";"48.17872";"000AS"
"2021-146856";"2021-03-18";"1";"Vente";"255000.0";"6.0";"None";"ALL DES TULIPES";"0134";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0217";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"6.0";"S";"sols";"None";"None";"583.0";"-1.634596";"48.177744";"000AS"
"2021-146311";"2021-03-12";"1";"Vente";"146000.0";"2.0";"None";"ALL DU PIGEON BLANC";"0105";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0433";"None";"None";"707";"nan";"728";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"52.0";"3.0";"None";"None";"None";"None";"nan";"-1.640225";"48.176995";"000AS"
"2021-146311";"2021-03-12";"1";"Vente";"146000.0";"2.0";"None";"ALL DU PIGEON BLANC";"0105";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0433";"None";"None";"509";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.640225";"48.176995";"000AS"
"2021-146128";"2021-02-26";"1";"Vente";"160000.0";"6.0";"None";"RUE DE LA FORET";"0059";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0132";"None";"None";"103";"nan";"108";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"11.0";"1.0";"None";"None";"None";"None";"nan";"-1.631876";"48.18057";"000AS"
"2021-146128";"2021-02-26";"1";"Vente";"160000.0";"6.0";"None";"RUE DE LA FORET";"0059";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0132";"None";"None";"102";"nan";"107";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"-1.631876";"48.18057";"000AS"
"2021-146128";"2021-02-26";"1";"Vente";"160000.0";"9004.0";"None";"RUE DE LA FORET";"0059";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0132";"None";"None";"112";"23.0";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.631876";"48.18057";"000AS"
"2021-145962";"2021-02-19";"1";"Vente";"225000.0";"8.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AS0047";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"53.0";"3.0";"S";"sols";"None";"None";"268.0";"-1.637274";"48.18011";"000AS"
