id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"22.0";"1.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"108.0";"5.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"28.0";"1.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"38.0";"1.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"60.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0418";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"nan";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0416";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"199.0";"nan";"nan";"000AT"
"2021-148708";"2021-06-08";"2";"Vente";"670000.0";"nan";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0417";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"137.0";"nan";"nan";"000AT"
"2021-147172";"2021-04-15";"1";"Vente";"225000.0";"41.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0012";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"54.0";"3.0";"S";"sols";"None";"None";"516.0";"-1.639179";"48.176404";"000AT"
"2021-147172";"2021-04-15";"1";"Vente";"225000.0";"41.0";"None";"RUE DE RENNES";"0115";"35830";"35024";"Betton";"35";"None";"None";"35024000AT0012";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"191.0";"0.0";"S";"sols";"None";"None";"516.0";"-1.639179";"48.176404";"000AT"
