id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-441570";"2020-12-23";"1";"Vente";"109570.0";"8.0";"None";"ALL DES BLEUETS";"0020";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0053";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"87.0";"4.0";"S";"sols";"None";"None";"245.0";"-1.632786";"48.173472";"000AV"
"2020-438197";"2020-09-04";"1";"Vente";"270000.0";"1.0";"None";"ALL DU MUGUET";"0092";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0101";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"136.0";"7.0";"S";"sols";"None";"None";"522.0";"-1.634186";"48.176514";"000AV"
"2020-433760";"2020-02-06";"1";"Vente";"311700.0";"33.0";"None";"RUE DES CHATAIGNIERS";"0026";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0065";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"142.0";"8.0";"S";"sols";"None";"None";"300.0";"-1.633174";"48.174187";"000AV"
"2020-433766";"2020-02-04";"1";"Vente";"41003.38";"nan";"None";"CHAMP DU CORMIER";"B206";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0019";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"11651.0";"-1.627963";"48.175265";"000AV"
"2020-433766";"2020-02-04";"1";"Vente";"41003.38";"nan";"None";"CLOS DU TERROIR";"B448";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0145";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"14630.0";"-1.630896";"48.174";"000AV"
"2019-528794";"2019-12-27";"1";"Vente";"304000.0";"19.0";"None";"RUE DES TILLEULS";"0122";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0007";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"720.0";"-1.632529";"48.176213";"000AV"
"2019-523134";"2019-06-17";"2";"Vente";"3027.4";"21.0";"None";"LES BEUSCHERS";"B032";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"14.0";"-1.628214";"48.172965";"000AV"
"2019-521109";"2019-04-01";"1";"Vente";"210000.0";"1.0";"None";"LES BEUSCHERS";"B032";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4.0";"S";"sols";"None";"None";"1004.0";"-1.631222";"48.17291";"000AV"
"2019-521102";"2019-03-27";"1";"Vente";"248000.0";"3.0";"None";"ALL DU MUGUET";"0092";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0100";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"571.0";"-1.634014";"48.176474";"000AV"
"2019-519926";"2019-02-19";"1";"Vente";"339500.0";"20.0";"None";"ALL DES BLEUETS";"0020";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0067";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"315.0";"-1.632726";"48.174205";"000AV"
"2019-519926";"2019-02-19";"1";"Vente";"339500.0";"20.0";"None";"ALL DES BLEUETS";"0020";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0067";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"J";"jardins";"POTAG";"Jardin potager";"628.0";"-1.632726";"48.174205";"000AV"
"2018-490765";"2018-09-14";"1";"Vente";"240000.0";"27.0";"None";"RUE DES CHATAIGNIERS";"0026";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0073";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"445.0";"-1.633014";"48.174827";"000AV"
"2018-488473";"2018-06-19";"1";"Vente";"219000.0";"21.0";"None";"LES BEUSCHERS";"B032";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0182";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"4.0";"AG";"terrains d'agrément";"None";"None";"531.0";"-1.628133";"48.173129";"000AV"
"2018-488473";"2018-06-19";"1";"Vente";"219000.0";"21.0";"None";"LES BEUSCHERS";"B032";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0182";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"4.0";"S";"sols";"None";"None";"754.0";"-1.628133";"48.173129";"000AV"
"2018-488473";"2018-06-19";"1";"Vente";"219000.0";"nan";"None";"LE CHAMP BERTRANT";"B088";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0184";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"936.0";"-1.628036";"48.173157";"000AV"
"2017-488135";"2017-01-03";"1";"Vente";"203000.0";"4.0";"None";"ALL DES BLEUETS";"0020";"35830";"35024";"Betton";"35";"None";"None";"35024000AV0055";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"87.0";"4.0";"S";"sols";"None";"None";"410.0";"-1.632847";"48.173291";"000AV"
