id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-440711";"2020-11-12";"1";"Vente";"34029.0";"nan";"None";"CHAMP DU NOYER";"B218";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0025";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"6773.0";"-1.621871";"48.17414";"000AW"
"2020-440711";"2020-11-12";"1";"Vente";"34029.0";"nan";"None";"LE PRE";"B895";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0045";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"6764.0";"-1.622117";"48.172923";"000AW"
"2020-440711";"2020-11-12";"1";"Vente";"34029.0";"nan";"None";"LA BROSSE";"B059";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0063";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"9745.0";"-1.623704";"48.175076";"000AW"
"2020-440711";"2020-11-12";"1";"Vente";"34029.0";"nan";"None";"LA COUROUSE";"B491";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0094";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"24867.0";"-1.624035";"48.173571";"000AW"
"2020-440711";"2020-11-12";"1";"Vente";"34029.0";"nan";"None";"LA COUROUSE";"B491";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0094";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"VE";"vergers";"CIDRE";"Cidre";"1169.0";"-1.624035";"48.173571";"000AW"
"2019-523280";"2019-07-05";"1";"Vente";"390000.0";"9013.0";"None";"LA MORINAIS";"B760";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0077";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"170.0";"6.0";"S";"sols";"None";"None";"652.0";"-1.623014";"48.176899";"000AW"
"2019-523280";"2019-07-05";"1";"Vente";"390000.0";"9013.0";"None";"LA MORINAIS";"B760";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0077";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"170.0";"6.0";"AG";"terrains d'agrément";"None";"None";"2108.0";"-1.623014";"48.176899";"000AW"
"2018-491139";"2018-10-17";"1";"Vente";"410000.0";"9001.0";"None";"LA COUR NEUVE";"B490";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0029";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"63.0";"3.0";"S";"sols";"None";"None";"681.0";"-1.617703";"48.174861";"000AW"
"2018-491139";"2018-10-17";"1";"Vente";"410000.0";"nan";"None";"LA COUR NEUVE";"B490";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0030";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"503.0";"-1.617913";"48.174679";"000AW"
"2018-491139";"2018-10-17";"1";"Vente";"410000.0";"nan";"None";"LA COUR NEUVE";"B490";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0030";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10.0";"-1.617913";"48.174679";"000AW"
"2017-494697";"2017-08-28";"2";"Echange";"1900.0";"nan";"None";"BOIS DE BETTON";"B039";"35830";"35024";"Betton";"35";"None";"None";"35024000AW0130";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"209.0";"-1.622122";"48.171437";"000AW"
