id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148203";"2021-05-11";"2";"Vente";"200000.0";"nan";"None";"LE HOUSSET";"B666";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0012";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"250.0";"-1.633998";"48.171513";"000AX"
"2021-148203";"2021-05-11";"2";"Vente";"200000.0";"nan";"None";"LE HOUSSET";"B666";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0137";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"129.0";"-1.634103";"48.171593";"000AX"
"2021-148203";"2021-05-11";"2";"Vente";"200000.0";"6.0";"None";"LE HOUSSET";"B666";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0268";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"18.0";"-1.634104";"48.171687";"000AX"
"2021-148203";"2021-05-11";"2";"Vente";"200000.0";"8.0";"None";"LE HOUSSET";"B666";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0270";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"249.0";"-1.633957";"48.171656";"000AX"
"2021-145455";"2021-01-22";"1";"Vente";"610000.0";"5.0";"None";"VAU ROBION";"C075";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0114";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"160.0";"5.0";"S";"sols";"None";"None";"1750.0";"-1.634387";"48.16745";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LE VAU ROBION";"C075";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0119";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"3851.0";"-1.63452";"48.16793";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LES GRANDS CHAMPS";"B633";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0043";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"11660.0";"-1.631628";"48.168835";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LES BARRES";"B006";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0044";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"27510.0";"-1.631597";"48.168114";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LA PRIEURAIS";"C012";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0106";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"14701.0";"-1.632787";"48.165804";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LES CAUXJAIS";"B077";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0110";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"20506.0";"-1.631587";"48.166941";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LE VAU ROBION";"C075";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0115";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"170.0";"-1.634217";"48.167658";"000AX"
"2018-490494";"2018-09-11";"1";"Vente";"554907.25";"nan";"None";"LE VAU ROBION";"C075";"35830";"35024";"Betton";"35";"None";"None";"35024000AX0116";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"542.0";"-1.634057";"48.167702";"000AX"
