id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-147246";"2021-04-02";"1";"Vente";"372783.0";"1.0";"None";"CHE JOSEPH GENTIL";"0213";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"172.0";"5.0";"S";"sols";"None";"None";"1160.0";"-1.624222";"48.164878";"000AY"
"2021-147246";"2021-04-02";"1";"Vente";"372783.0";"1.0";"None";"CHE JOSEPH GENTIL";"0213";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"71.0";"0.0";"S";"sols";"None";"None";"1160.0";"-1.624222";"48.164878";"000AY"
"2020-436895";"2020-07-01";"1";"Vente";"245000.0";"15.0";"None";"TIHOUIT";"C058";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0159";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"175.0";"9.0";"J";"jardins";"POTAG";"Jardin potager";"1375.0";"-1.623815";"48.165775";"000AY"
"2020-436895";"2020-07-01";"1";"Vente";"245000.0";"15.0";"None";"TIHOUIT";"C058";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0159";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"175.0";"9.0";"S";"sols";"None";"None";"1000.0";"-1.623815";"48.165775";"000AY"
"2019-528777";"2019-12-13";"1";"Vente";"310000.0";"27.0";"None";"LA PETITE LOUVRAIS";"B841";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"5.0";"S";"sols";"None";"None";"534.0";"-1.632665";"48.154569";"000AY"
"2019-528777";"2019-12-13";"1";"Vente";"310000.0";"27.0";"None";"LA PETITE LOUVRAIS";"B841";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"5.0";"J";"jardins";"POTAG";"Jardin potager";"710.0";"-1.632665";"48.154569";"000AY"
"2019-522877";"2019-06-05";"1";"Vente";"350000.0";"9002.0";"None";"LE GRAND RIGNE";"B593";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0253";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"130.0";"6.0";"None";"None";"None";"None";"nan";"-1.630013";"48.162388";"000AY"
"2017-494054";"2017-07-26";"1";"Vente";"264000.0";"9002.0";"None";"LE PETIT RIGNE";"B827";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0126";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"3.0";"J";"jardins";"POTAG";"Jardin potager";"659.0";"-1.63115";"48.160724";"000AY"
"2017-494054";"2017-07-26";"1";"Vente";"264000.0";"9002.0";"None";"LE PETIT RIGNE";"B827";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0126";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"60.0";"3.0";"S";"sols";"None";"None";"368.0";"-1.63115";"48.160724";"000AY"
"2017-490517";"2017-03-31";"1";"Vente";"567500.0";"13.0";"None";"TIHOUIT";"C058";"35830";"35024";"Betton";"35";"None";"None";"35024000AY0222";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"166.0";"8.0";"S";"sols";"None";"None";"391.0";"-1.623185";"48.166493";"000AY"
