id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-433445";"2020-02-13";"1";"Vente";"530000.0";"1.0";"None";"LA GRANDE LOUVRAIS";"B612";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0055";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"155.0";"7.0";"AG";"terrains d'agrément";"None";"None";"3088.0";"-1.64129";"48.153383";"000AZ"
"2020-433445";"2020-02-13";"1";"Vente";"530000.0";"1.0";"None";"LA GRANDE LOUVRAIS";"B612";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0055";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"155.0";"7.0";"S";"sols";"None";"None";"711.0";"-1.64129";"48.153383";"000AZ"
"2020-433445";"2020-02-13";"1";"Vente";"530000.0";"nan";"None";"LA JANNAIE";"B672";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0056";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"2832.0";"-1.641934";"48.153891";"000AZ"
"2020-433445";"2020-02-13";"1";"Vente";"530000.0";"nan";"None";"LA JANNAIE";"B672";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0057";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"378.0";"-1.641031";"48.153583";"000AZ"
"2019-528511";"2019-12-05";"1";"Vente";"390000.0";"15.0";"None";"LA PETITE LOUVRAIS";"B841";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0231";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"164.0";"7.0";"S";"sols";"None";"None";"1000.0";"-1.633913";"48.154399";"000AZ"
"2019-526437";"2019-09-24";"1";"Vente";"104000.0";"nan";"None";"L ILLE";"B670";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0099";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"95.0";"-1.646274";"48.154299";"000AZ"
"2019-526437";"2019-09-24";"1";"Vente";"104000.0";"nan";"None";"LA GRANDE LANDE";"B608";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0098";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"14548.0";"-1.645056";"48.154337";"000AZ"
"2019-526437";"2019-09-24";"1";"Vente";"104000.0";"nan";"None";"PRE DE VILLE ASSELIN";"B949";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0100";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"BP";"peupleraies";"None";"None";"844.0";"-1.646132";"48.154567";"000AZ"
"2019-526437";"2019-09-24";"1";"Vente";"104000.0";"nan";"None";"CHAMP DE LA PERRIERE";"B146";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0101";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"16692.0";"-1.645099";"48.15504";"000AZ"
"2019-526437";"2019-09-24";"1";"Vente";"104000.0";"nan";"None";"LES ROCHELLES";"C039";"35830";"35024";"Betton";"35";"None";"None";"35024000AZ0102";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"43091.0";"-1.646462";"48.155645";"000AZ"
