id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-441434";"2020-12-19";"1";"Vente";"504000.0";"102";"None";"RUE DE LA GRANDE PIERRE";"0213";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0391";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"131.0";"5";"S";"sols";"None";"None";"475.0";"-1.604144";"48.124751";"000AA"
"2020-439425";"2020-10-12";"1";"Vente";"404000.0";"14";"None";"RUE DU DOUET";"0214";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0016";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4";"S";"sols";"None";"None";"548.0";"-1.611588";"48.127271";"000AA"
"2020-437937";"2020-09-03";"1";"Vente";"536970.0";"2";"None";"RUE DU DOUET";"0214";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0147";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"142.0";"5";"S";"sols";"None";"None";"568.0";"-1.61001";"48.126818";"000AA"
"2020-437709";"2020-08-24";"1";"Vente";"465000.0";"9";"None";"RUE DU REAGE";"0535";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0238";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"138.0";"5";"S";"sols";"None";"None";"432.0";"-1.606559";"48.125933";"000AA"
"2020-436924";"2020-07-15";"1";"Vente";"743000.0";"58";"None";"RUE DU PRESSOIR";"0534";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0113";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"172.0";"7";"S";"sols";"None";"None";"872.0";"-1.608674";"48.123713";"000AA"
"2020-436732";"2020-07-03";"1";"Vente";"420000.0";"6";"None";"RUE DE LA GRANGE";"0217";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0051";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"4";"S";"sols";"None";"None";"481.0";"-1.611156";"48.125254";"000AA"
"2020-436595";"2020-06-29";"1";"Vente";"434000.0";"42";"None";"RUE DE LA GRANDE PIERRE";"0213";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0306";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"143.0";"4";"S";"sols";"None";"None";"544.0";"-1.604416";"48.123817";"000AA"
"2020-436382";"2020-06-19";"1";"Vente";"450000.0";"12";"None";"RUE DE LA GRANDE PIERRE";"0213";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0297";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"118.0";"6";"S";"sols";"None";"None";"423.0";"-1.605137";"48.1244";"000AA"
"2020-436471";"2020-06-17";"1";"Vente";"380000.0";"12";"None";"RUE DE LA GRANGE";"0217";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0063";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"126.0";"3";"S";"sols";"None";"None";"435.0";"-1.61187";"48.124934";"000AA"
"2020-432835";"2020-01-09";"1";"Vente";"490000.0";"93";"None";"RUE DU REAGE";"0535";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AA0040";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"124.0";"5";"S";"sols";"None";"None";"454.0";"-1.6111";"48.126091";"000AA"
