id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-146784";"2021-04-01";"1";"Vente";"515000.0";"50";"None";"RUE DU COURTIL";"0175";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0027";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"137.0";"6";"S";"sols";"None";"None";"541.0";"-1.608736";"48.122947";"000AB"
"2021-145934";"2021-02-24";"1";"Vente";"400000.0";"44";"None";"RUE DU COURTIL";"0175";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0033";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"108.0";"5";"S";"sols";"None";"None";"481.0";"-1.608653";"48.122649";"000AB"
"2021-145882";"2021-02-22";"1";"Vente";"590000.0";"7";"None";"RUE DE LA COULEE";"0170";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0042";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"147.0";"6";"S";"sols";"None";"None";"1169.0";"-1.607087";"48.122362";"000AB"
"2020-439326";"2020-10-12";"1";"Vente";"460000.0";"24";"None";"RUE DU COURTIL";"0175";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0127";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"136.0";"7";"S";"sols";"None";"None";"540.0";"-1.608174";"48.121114";"000AB"
"2020-438670";"2020-09-28";"1";"Vente";"495000.0";"38";"None";"AV DE CARADEUC";"0110";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0223";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"140.0";"7";"S";"sols";"None";"None";"625.0";"-1.607484";"48.11994";"000AB"
"2020-437762";"2020-08-12";"1";"Vente";"570000.0";"35";"None";"AV DE LA GRANDE FONTENELLE";"0210";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0025";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"151.0";"7";"S";"sols";"None";"None";"856.0";"-1.60808";"48.122987";"000AB"
"2020-437018";"2020-07-21";"1";"Vente";"485140.0";"53";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0104";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"3";"S";"sols";"None";"None";"702.0";"-1.604272";"48.122419";"000AB"
"2020-433518";"2020-01-31";"1";"Vente";"387000.0";"30";"None";"RUE DE LA CROIX CONNUE";"0180";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0239";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"6";"S";"sols";"None";"None";"486.0";"-1.608269";"48.119406";"000AB"
"2019-526704";"2019-10-21";"1";"Vente";"495000.0";"65";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0098";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"121.0";"6";"S";"sols";"None";"None";"521.0";"-1.602716";"48.122415";"000AB"
"2019-525090";"2019-08-06";"1";"Vente";"585000.0";"3";"None";"RUE DE LA COULEE";"0170";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AB0149";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"209.0";"9";"S";"sols";"None";"None";"1266.0";"-1.607093";"48.12183";"000AB"
