id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149054";"2021-06-15";"1";"Vente";"409680.0";"53.0";"None";"AV DE CARADEUC";"0110";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0006";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"6.0";"S";"sols";"None";"None";"449.0";"-1.607378";"48.1191";"000AC"
"2021-147165";"2021-04-21";"1";"Vente en l'état futur d'achèvement";"170000.0";"5.0";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"14";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2021-147165";"2021-04-21";"1";"Vente en l'état futur d'achèvement";"170000.0";"5.0";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"33";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2021-147165";"2021-04-21";"1";"Vente en l'état futur d'achèvement";"170000.0";"5.0";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"57";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2021-147165";"2021-04-21";"1";"Vente en l'état futur d'achèvement";"170000.0";"5.0";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"15";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2020-441417";"2020-12-18";"1";"Vente";"404890.0";"6.0";"B";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"13";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"2.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-441417";"2020-12-18";"1";"Vente";"404890.0";"6.0";"B";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"67";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-441417";"2020-12-18";"1";"Vente";"404890.0";"6.0";"B";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"65";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-437601";"2020-08-14";"1";"Vente";"662000.0";"6.0";"None";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"26";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"135.0";"4.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-437601";"2020-08-14";"1";"Vente";"662000.0";"6.0";"B";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"88";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-437601";"2020-08-14";"1";"Vente";"662000.0";"6.0";"B";"MAIL DE BOURG CHEVREUIL";"0081";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0063";"None";"None";"51";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.605024";"48.118544";"000AC"
"2020-436009";"2020-06-08";"1";"Vente en l'état futur d'achèvement";"206000.0";"5.0";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"37";"nan";"56";"None";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"72.0";"0.0";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2020-436009";"2020-06-08";"1";"Vente en l'état futur d'achèvement";"206000.0";"nan";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"14";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
"2020-436009";"2020-06-08";"1";"Vente en l'état futur d'achèvement";"206000.0";"nan";"None";"RUE DE LA CHALOTAIS";"0125";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AC0118";"None";"None";"15";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.600853";"48.118187";"000AC"
