id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149575";"2021-06-24";"1";"Vente";"330000.0";"131.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0014";"None";"None";"4";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"87.0";"5.0";"None";"None";"None";"None";"nan";"-1.598552";"48.122207";"000AD"
"2021-149575";"2021-06-24";"1";"Vente";"330000.0";"147.0";"B";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0023";"None";"None";"4";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.597863";"48.122048";"000AD"
"2021-148762";"2021-06-17";"1";"Vente";"347000.0";"58.0";"None";"RUE DES PETITS CHAMPS";"0510";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0061";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"98.0";"5.0";"S";"sols";"None";"None";"215.0";"-1.597172";"48.123104";"000AD"
"2021-147912";"2021-05-10";"1";"Vente";"250000.0";"2.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0145";"None";"None";"6";"nan";"87";"81.41";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.598525";"48.119864";"000AD"
"2021-146972";"2021-04-07";"1";"Vente";"280000.0";"4.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0142";"None";"None";"139";"nan";"72";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.598564";"48.120807";"000AD"
"2021-146972";"2021-04-07";"1";"Vente";"280000.0";"4.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0142";"None";"None";"55";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.598564";"48.120807";"000AD"
"2021-146454";"2021-03-16";"1";"Vente";"260000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"120";"nan";"39";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"108.0";"5.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2021-146454";"2021-03-16";"1";"Vente";"260000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"56";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2021-145755";"2021-02-11";"1";"Vente";"266000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"133";"nan";"66";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"94.0";"4.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2021-145987";"2021-02-11";"1";"Vente";"187200.0";"2.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0145";"None";"None";"3";"nan";"84";"67.38";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"67.0";"3.0";"None";"None";"None";"None";"nan";"-1.598525";"48.119864";"000AD"
"2021-145755";"2021-02-11";"1";"Vente";"266000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"75";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2021-145464";"2021-02-05";"1";"Vente";"208000.0";"6.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0139";"None";"None";"2";"nan";"73";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"80.0";"4.0";"None";"None";"None";"None";"nan";"-1.599096";"48.121689";"000AD"
"2021-145046";"2021-01-06";"1";"Vente";"225000.0";"6.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0139";"None";"None";"119";"nan";"48";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.599096";"48.121689";"000AD"
"2020-441282";"2020-12-22";"1";"Vente";"305000.0";"175.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0164";"None";"None";"117";"nan";"39";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.601947";"48.120754";"000AD"
"2020-441282";"2020-12-22";"1";"Vente";"305000.0";"175.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0164";"None";"None";"52";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.601947";"48.120754";"000AD"
"2020-441582";"2020-12-17";"1";"Vente";"175000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"2";"nan";"82";"78.63";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"79.0";"0.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2020-441582";"2020-12-17";"1";"Vente";"175000.0";"3.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0159";"None";"None";"76";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"15.0";"0.0";"None";"None";"None";"None";"nan";"-1.600544";"48.12105";"000AD"
"2020-441266";"2020-12-11";"1";"Vente";"298000.0";"4.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0142";"None";"None";"134";"nan";"67";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"94.0";"5.0";"None";"None";"None";"None";"nan";"-1.598564";"48.120807";"000AD"
"2020-441266";"2020-12-11";"1";"Vente";"298000.0";"4.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0142";"None";"None";"80";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.598564";"48.120807";"000AD"
"2020-439201";"2020-10-01";"1";"Vente";"278000.0";"2.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0145";"None";"None";"111";"nan";"30";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"94.0";"5.0";"None";"None";"None";"None";"nan";"-1.598525";"48.119864";"000AD"
"2020-439201";"2020-10-01";"1";"Vente";"278000.0";"2.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0145";"None";"None";"66";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.598525";"48.119864";"000AD"
"2020-438233";"2020-09-16";"1";"Vente";"365000.0";"171.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0107";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"6.0";"S";"sols";"None";"None";"232.0";"-1.59712";"48.121907";"000AD"
"2020-438233";"2020-09-16";"1";"Vente";"365000.0";"173.0";"B";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0109";"None";"None";"5";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.597342";"48.121806";"000AD"
"2020-436742";"2020-07-16";"1";"Vente";"209000.0";"6.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0139";"None";"None";"80";"nan";"9";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"81.0";"4.0";"None";"None";"None";"None";"nan";"-1.599096";"48.121689";"000AD"
"2020-437427";"2020-07-16";"1";"Vente";"140000.0";"2.0";"None";"BD DES METAIRIES";"0432";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AD0145";"None";"None";"13";"nan";"94";"54.08";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"54.0";"2.0";"None";"None";"None";"None";"nan";"-1.598525";"48.119864";"000AD"
