id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149324";"2021-06-30";"1";"Vente";"435000.0";"121.0";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0073";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"6.0";"S";"sols";"None";"None";"939.0";"-1.595869";"48.12591";"000AE"
"2021-148020";"2021-05-21";"1";"Vente";"335000.0";"49.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0198";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"77.0";"4.0";"S";"sols";"None";"None";"213.0";"-1.596184";"48.125054";"000AE"
"2021-147602";"2021-04-26";"1";"Vente";"375000.0";"46.0";"None";"RUE DU GRAND DOMAINE";"0209";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0053";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"101.0";"5.0";"S";"sols";"None";"None";"462.0";"-1.597419";"48.125787";"000AE"
"2021-147843";"2021-04-21";"1";"Vente";"384500.0";"60.0";"None";"RUE DU GRAND DOMAINE";"0209";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0025";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"6.0";"S";"sols";"None";"None";"316.0";"-1.597668";"48.126096";"000AE"
"2021-146639";"2021-03-15";"1";"Vente";"670000.0";"89.0";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0088";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"165.0";"9.0";"S";"sols";"None";"None";"815.0";"-1.593971";"48.126733";"000AE"
"2021-145623";"2021-02-12";"1";"Vente";"160000.0";"24.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0238";"None";"None";"10";"53.83";"50";"None";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"53.0";"2.0";"None";"None";"None";"None";"nan";"-1.598887";"48.124652";"000AE"
"2020-440214";"2020-11-18";"1";"Vente";"320000.0";"23.0";"None";"RUE DU GRAND DOMAINE";"0209";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0118";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"5.0";"S";"sols";"None";"None";"664.0";"-1.594233";"48.124781";"000AE"
"2020-437572";"2020-07-31";"1";"Vente";"196000.0";"34.0";"None";"RUE DU GRAND DOMAINE";"0209";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0041";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"113.0";"5.0";"S";"sols";"None";"None";"462.0";"-1.5979";"48.125451";"000AE"
"2020-435844";"2020-06-05";"1";"Vente";"375000.0";"115.0";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0070";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"118.0";"6.0";"S";"sols";"None";"None";"640.0";"-1.596399";"48.126268";"000AE"
"2020-434700";"2020-04-09";"1";"Vente";"150000.0";"24.0";"None";"RUE DE BELLE EPINE";"0067";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AE0238";"None";"None";"23";"76.91";"79";"None";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"78.0";"4.0";"None";"None";"None";"None";"nan";"-1.598887";"48.124652";"000AE"
