id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-436607";"2020-07-07";"1";"Vente";"505726.0";"108";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0135";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"149.0";"8";"S";"sols";"None";"None";"663.0";"-1.592383";"48.12505";"000AH"
"2018-492584";"2018-12-06";"1";"Vente";"440000.0";"17";"None";"RUE DES NOES";"0465";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0038";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"154.0";"6";"S";"sols";"None";"None";"450.0";"-1.59349";"48.12218";"000AH"
"2018-491703";"2018-11-02";"1";"Vente";"380000.0";"102";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0140";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"6";"S";"sols";"None";"None";"577.0";"-1.592952";"48.125821";"000AH"
"2018-491885";"2018-10-26";"1";"Vente";"520000.0";"63";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0014";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"148.0";"6";"S";"sols";"None";"None";"743.0";"-1.591234";"48.127461";"000AH"
"2018-489783";"2018-08-30";"1";"Vente";"450000.0";"33";"None";"RUE DES NOES";"0465";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0054";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"138.0";"6";"S";"sols";"None";"None";"512.0";"-1.593198";"48.122491";"000AH"
"2018-489404";"2018-08-17";"1";"Vente";"547800.0";"50";"None";"RUE DE CLAIRVILLE";"0166";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"138.0";"5";"S";"sols";"None";"None";"551.0";"-1.594973";"48.12288";"000AH"
"2018-484579";"2018-01-31";"1";"Vente";"365000.0";"80";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"143.0";"5";"S";"sols";"None";"None";"601.0";"-1.591698";"48.126172";"000AH"
"2017-493367";"2017-06-30";"1";"Vente";"355000.0";"63";"None";"RUE DES NOES";"0465";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0068";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"123.0";"5";"S";"sols";"None";"None";"493.0";"-1.594317";"48.123169";"000AH"
"2017-490833";"2017-04-14";"1";"Vente";"350000.0";"70";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0155";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"126.0";"6";"S";"sols";"None";"None";"523.0";"-1.591795";"48.125481";"000AH"
"2016-234675";"2016-07-23";"1";"Vente";"440000.0";"7";"None";"RUE DE LA CHESNAIE";"0165";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0126";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"133.0";"8";"S";"sols";"None";"None";"476.0";"-1.5933";"48.125248";"000AH"
"2016-234192";"2016-07-12";"1";"Vente";"445000.0";"2";"None";"RUE DE LA CHESNAIE";"0165";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AH0122";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"180.0";"7";"S";"sols";"None";"None";"909.0";"-1.593695";"48.124639";"000AH"
