id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148579";"2021-06-07";"1";"Vente";"610000.0";"32";"None";"RUE DES NOES";"0465";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0055";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"128.0";"5";"S";"sols";"None";"None";"782.0";"-1.594873";"48.120332";"000AI"
"2020-439313";"2020-10-09";"1";"Vente";"310000.0";"30";"None";"RUE DE CLAIRVILLE";"0166";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0033";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"110.0";"6";"S";"sols";"None";"None";"220.0";"-1.595393";"48.121383";"000AI"
"2020-439623";"2020-10-09";"1";"Vente";"532500.0";"8";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0078";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"6";"S";"sols";"None";"None";"691.0";"-1.593169";"48.12099";"000AI"
"2020-439313";"2020-10-09";"1";"Vente";"310000.0";"32";"B";"RUE DE CLAIRVILLE";"0166";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0036";"None";"None";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"-1.595325";"48.121565";"000AI"
"2020-433515";"2020-02-14";"1";"Vente";"600000.0";"11";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0097";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"126.0";"6";"S";"sols";"None";"None";"1044.0";"-1.593248";"48.120108";"000AI"
"2018-491978";"2018-10-31";"1";"Vente";"830000.0";"19";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0093";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"240.0";"5";"AG";"terrains d'agrément";"None";"None";"768.0";"-1.592283";"48.121095";"000AI"
"2018-491978";"2018-10-31";"1";"Vente";"830000.0";"19";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0093";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"240.0";"5";"S";"sols";"None";"None";"500.0";"-1.592283";"48.121095";"000AI"
"2018-491173";"2018-10-04";"1";"Vente";"450000.0";"26";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0087";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"131.0";"7";"S";"sols";"None";"None";"526.0";"-1.591963";"48.122496";"000AI"
"2018-487090";"2018-05-31";"1";"Vente";"420000.0";"12";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0080";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"126.0";"6";"S";"sols";"None";"None";"645.0";"-1.592893";"48.121391";"000AI"
"2018-486872";"2018-05-25";"1";"Vente";"773000.0";"17";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0094";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"152.0";"5";"S";"sols";"None";"None";"1101.0";"-1.592484";"48.12088";"000AI"
"2017-495828";"2017-09-28";"1";"Vente";"515000.0";"5";"None";"BD DE DEZERSEUL";"0201";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0102";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"158.0";"7";"S";"sols";"None";"None";"953.0";"-1.594295";"48.11942";"000AI"
"2017-489626";"2017-03-14";"1";"Vente";"393000.0";"2";"None";"RUE DES NOES";"0465";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0070";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"132.0";"7";"S";"sols";"None";"None";"607.0";"-1.593699";"48.121001";"000AI"
"2016-234327";"2016-07-25";"1";"Vente";"295000.0";"32";"None";"RUE DE CLAIRVILLE";"0166";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0034";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"135.0";"5";"S";"sols";"None";"None";"272.0";"-1.595325";"48.12147";"000AI"
"2016-234327";"2016-07-25";"1";"Vente";"295000.0";"32";"B";"RUE DE CLAIRVILLE";"0166";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AI0036";"None";"None";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"-1.595325";"48.121565";"000AI"
