id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149020";"2021-05-31";"1";"Vente";"370000.0";"4.0";"None";"ALL DES HIRONDELLES";"0240";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0238";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"88.0";"5.0";"S";"sols";"None";"None";"591.0";"-1.628165";"48.11439";"000AK"
"2021-149020";"2021-05-31";"1";"Vente";"370000.0";"4.0";"None";"ALL DES HIRONDELLES";"0240";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0238";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"50.0";"0.0";"S";"sols";"None";"None";"591.0";"-1.628165";"48.11439";"000AK"
"2020-440769";"2020-12-04";"1";"Vente";"430000.0";"64.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0230";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"5.0";"S";"sols";"None";"None";"302.0";"-1.627384";"48.114311";"000AK"
"2020-440831";"2020-11-26";"1";"Vente";"269000.0";"3.0";"None";"ALL DES HIRONDELLES";"0240";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0224";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"49.0";"3.0";"S";"sols";"None";"None";"299.0";"-1.627938";"48.114711";"000AK"
"2020-439916";"2020-11-10";"1";"Vente";"360000.0";"18.0";"None";"ALL DES TULIPES";"0588";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0188";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"5.0";"S";"sols";"None";"None";"577.0";"-1.628868";"48.115629";"000AK"
"2020-438844";"2020-09-30";"1";"Vente";"480000.0";"58.0";"None";"RUE DU HYL";"0262";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0111";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"5.0";"S";"sols";"None";"None";"413.0";"-1.63";"48.115952";"000AK"
"2020-437830";"2020-08-31";"1";"Vente";"139750.0";"86.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0081";"None";"None";"8";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"-1.631533";"48.114449";"000AK"
"2020-437830";"2020-08-31";"1";"Vente";"139750.0";"86.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0081";"None";"None";"27";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.631533";"48.114449";"000AK"
"2020-437693";"2020-08-20";"1";"Vente";"648720.0";"2.0";"None";"RUE DE LA PERRIERE";"0505";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0160";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"145.0";"6.0";"S";"sols";"None";"None";"739.0";"-1.631815";"48.116216";"000AK"
"2020-437176";"2020-07-30";"1";"Vente";"420000.0";"15.0";"None";"ALL DES MESANGES";"0428";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0363";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"129.0";"6.0";"S";"sols";"None";"None";"358.0";"-1.62861";"48.115217";"000AK"
"2020-436511";"2020-06-19";"1";"Vente";"420000.0";"4.0";"None";"RUE DE CHATEAUNEUF";"0162";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0147";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"125.0";"6.0";"S";"sols";"None";"None";"701.0";"-1.630877";"48.116568";"000AK"
"2020-435527";"2020-06-05";"1";"Vente";"440000.0";"6.0";"None";"RUE DE LA TREMBLAIE";"0586";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0016";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"120.0";"6.0";"S";"sols";"None";"None";"422.0";"-1.628817";"48.116975";"000AK"
"2020-435527";"2020-06-05";"1";"Vente";"440000.0";"nan";"None";"RUE DE LA TREMBLAIE";"0586";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0036";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"SPORT";"Terrain de sport";"527.0";"-1.628709";"48.11672";"000AK"
"2020-434965";"2020-05-14";"1";"Vente";"360000.0";"15.0";"None";"ALL DES TULIPES";"0588";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AK0264";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"6.0";"S";"sols";"None";"None";"435.0";"-1.629588";"48.115226";"000AK"
