id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-147157";"2021-04-19";"1";"Vente";"377000.0";"38.0";"None";"ALL DE LA RENAUDIERE";"0537";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0061";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"635.0";"-1.629318";"48.118868";"000AL"
"2021-146463";"2021-03-19";"1";"Vente";"399715.0";"46.0";"None";"ALL DE LA RENAUDIERE";"0537";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0043";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"5.0";"S";"sols";"None";"None";"494.0";"-1.629453";"48.118206";"000AL"
"2021-146691";"2021-03-18";"1";"Vente";"3600000.0";"4.0";"None";"RUE DE LA CHATAIGNERAIE";"0159";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0166";"None";"None";"1";"nan";"5";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"1015.0";"0.0";"None";"None";"None";"None";"nan";"-1.630644";"48.120342";"000AL"
"2021-146691";"2021-03-18";"1";"Vente";"3600000.0";"4.0";"None";"RUE DE LA CHATAIGNERAIE";"0159";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0166";"None";"None";"2";"nan";"3";"nan";"4";"None";"None";"None";"None";"None";"3";"4";"Local industriel. commercial ou assimilé";"1039.0";"0.0";"None";"None";"None";"None";"nan";"-1.630644";"48.120342";"000AL"
"2020-435290";"2020-05-29";"1";"Vente";"350000.0";"18.0";"None";"ALL DE LA RENAUDIERE";"0537";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0023";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"355.0";"-1.629021";"48.118168";"000AL"
"2020-435317";"2020-05-06";"1";"Vente";"353600.0";"16.0";"None";"ALL DE LA RENAUDIERE";"0537";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0024";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"337.0";"-1.629035";"48.118039";"000AL"
"2020-433850";"2020-03-02";"1";"Vente";"379600.0";"44.0";"None";"ALL DE LA RENAUDIERE";"0537";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0057";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"5.0";"S";"sols";"None";"None";"459.0";"-1.629182";"48.118412";"000AL"
"2020-433926";"2020-01-30";"1";"Vente";"nan";"nan";"None";"AV DE LA TOURAUDAIS";"0582";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0086";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"922.0";"-1.631785";"48.118393";"000AL"
"2020-433926";"2020-01-30";"1";"Vente";"nan";"nan";"None";"AV DE LA TOURAUDAIS";"0582";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0087";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"151.0";"-1.63169";"48.118688";"000AL"
"2020-433926";"2020-01-30";"1";"Vente";"nan";"nan";"None";"AV DE LA TOURAUDAIS";"0582";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AL0188";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"6702.0";"-1.631107";"48.120221";"000AL"
