id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148746";"2021-06-16";"1";"Vente";"345000.0";"29.0";"None";"RUE DU GRAND CHAMP";"0208";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0357";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"230.0";"-1.62225";"48.11732";"000AN"
"2021-148746";"2021-06-16";"1";"Vente";"345000.0";"9020.0";"None";"RUE DU GRAND CHAMP";"0208";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0343";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"17.0";"-1.621758";"48.117503";"000AN"
"2021-148561";"2021-06-08";"1";"Vente";"335000.0";"20.0";"None";"AV DE LA RENAUDIERE";"0538";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0345";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"105.0";"5.0";"S";"sols";"None";"None";"170.0";"-1.621587";"48.117422";"000AN"
"2021-148561";"2021-06-08";"1";"Vente";"335000.0";"9029.0";"None";"RUE DU GRAND CHAMP";"0208";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0352";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"16.0";"-1.621819";"48.117349";"000AN"
"2021-147890";"2021-04-26";"1";"Vente";"562100.0";"2.0";"None";"RUE DE LA RABINE";"0533";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0184";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"205.0";"5.0";"S";"sols";"None";"None";"821.0";"-1.623699";"48.115287";"000AN"
"2021-146710";"2021-04-02";"2";"Vente";"600000.0";"16.0";"None";"ALL DES ROSIERS";"0570";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0398";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"113.0";"4.0";"None";"None";"None";"None";"nan";"-1.627217";"48.116014";"000AN"
"2021-146889";"2021-03-30";"1";"Vente";"425000.0";"87.0";"None";"RUE DE LA RABINE";"0533";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0237";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"122.0";"4.0";"S";"sols";"None";"None";"482.0";"-1.625358";"48.117153";"000AN"
"2021-146573";"2021-03-26";"1";"Vente";"433931.3";"44.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0154";"None";"None";"40";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"80.0";"4.0";"None";"None";"None";"None";"nan";"-1.623508";"48.11444";"000AN"
"2021-146573";"2021-03-26";"1";"Vente";"433931.3";"44.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0154";"None";"None";"89";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.623508";"48.11444";"000AN"
"2021-146573";"2021-03-26";"1";"Vente";"433931.3";"44.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0154";"None";"None";"90";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.623508";"48.11444";"000AN"
"2021-146573";"2021-03-26";"1";"Vente";"433931.3";"44.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0154";"None";"None";"117";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.623508";"48.11444";"000AN"
"2020-440640";"2020-11-25";"1";"Vente";"520000.0";"23.0";"None";"RUE DE LA RABINE";"0533";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AN0174";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"131.0";"5.0";"S";"sols";"None";"None";"319.0";"-1.625076";"48.115301";"000AN"
