id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-148377";"2021-05-21";"1";"Vente";"430000.0";"3";"None";"RUE DE LA VIGNE";"0620";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0015";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"3.0";"S";"sols";"None";"None";"772.0";"-1.612005";"48.121754";"000AP"
"2021-147653";"2021-04-26";"1";"Vente";"375000.0";"15";"None";"RUE DU VERGER";"0600";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"119.0";"4.0";"S";"sols";"None";"None";"447.0";"-1.612799";"48.11914";"000AP"
"2021-147449";"2021-04-08";"1";"Vente";"389500.0";"15";"None";"RUE CHAMPAUBERT";"0130";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0097";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"579.0";"-1.613006";"48.120908";"000AP"
"2020-439899";"2020-10-23";"1";"Vente";"400000.0";"34";"None";"RUE DE BEAUSOLEIL";"0060";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0019";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"132.0";"6.0";"S";"sols";"None";"None";"796.0";"nan";"nan";"000AP"
"2020-437184";"2020-07-30";"1";"Vente";"873000.0";"26";"None";"RUE DU CHAMP MONDAIN";"0140";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"202.0";"7.0";"S";"sols";"None";"None";"713.0";"-1.611438";"48.122242";"000AP"
"2019-527763";"2019-12-02";"1";"Vente";"360000.0";"3";"None";"RUE DE BEAUSOLEIL";"0060";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0085";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"97.0";"5.0";"S";"sols";"None";"None";"471.0";"-1.612017";"48.11965";"000AP"
"2019-525068";"2019-08-27";"1";"Vente";"470000.0";"44";"None";"RUE DE BEAUSOLEIL";"0060";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0024";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"143.0";"7.0";"S";"sols";"None";"None";"512.0";"-1.614014";"48.12142";"000AP"
"2019-524192";"2019-07-30";"1";"Vente";"410000.0";"8";"None";"RUE DU CHAMP MONDAIN";"0140";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0004";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"110.0";"5.0";"S";"sols";"None";"None";"496.0";"-1.613999";"48.121654";"000AP"
"2019-523112";"2019-06-11";"1";"Vente";"300000.0";"18";"None";"RUE DE BEAUSOLEIL";"0060";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0062";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"105.0";"4.0";"S";"sols";"None";"None";"572.0";"-1.611633";"48.120406";"000AP"
"2018-493243";"2018-11-29";"1";"Vente";"114983.0";"3";"None";"RUE DU CADEROC";"0080";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"104.0";"4.0";"S";"sols";"None";"None";"455.0";"-1.613902";"48.119261";"000AP"
"2018-490745";"2018-10-04";"1";"Vente";"360000.0";"5";"None";"RUE DE LA LANDE SECHE";"0340";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AP0079";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"4.0";"S";"sols";"None";"None";"553.0";"-1.610505";"48.119901";"000AP"
