id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149180";"2021-06-28";"1";"Vente";"80000.0";"6.0";"None";"RUE DE LA FRESNERIE";"0206";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0249";"None";"None";"14";"23.95";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"25.0";"1.0";"None";"None";"None";"None";"nan";"-1.6056";"48.116985";"000AR"
"2021-149178";"2021-06-25";"1";"Vente";"1100000.0";"8.0";"None";"CRS DE LA VILAINE";"0247";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0201";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"185.0";"5.0";"S";"sols";"None";"None";"367.0";"-1.605294";"48.1165";"000AR"
"2021-149178";"2021-06-25";"1";"Vente";"1100000.0";"8.0";"None";"CRS DE LA VILAINE";"0247";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0201";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"280.0";"0.0";"S";"sols";"None";"None";"367.0";"-1.605294";"48.1165";"000AR"
"2021-148139";"2021-05-20";"1";"Vente";"169490.0";"2.0";"None";"RUE DU CALVAIRE";"0100";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0254";"None";"None";"84";"37.94";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"38.0";"2.0";"None";"None";"None";"None";"nan";"-1.605722";"48.117557";"000AR"
"2021-148139";"2021-05-20";"1";"Vente";"169490.0";"2.0";"None";"RUE DU CALVAIRE";"0100";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0254";"None";"None";"22";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.605722";"48.117557";"000AR"
"2021-147662";"2021-04-30";"1";"Vente";"470000.0";"36.0";"None";"CRS DE LA VILAINE";"0247";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0147";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"38.0";"2.0";"S";"sols";"None";"None";"555.0";"-1.607544";"48.115662";"000AR"
"2021-147662";"2021-04-30";"1";"Vente";"470000.0";"36.0";"None";"CRS DE LA VILAINE";"0247";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0147";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"105.0";"4.0";"S";"sols";"None";"None";"555.0";"-1.607544";"48.115662";"000AR"
"2021-147662";"2021-04-30";"1";"Vente";"470000.0";"36.0";"None";"CRS DE LA VILAINE";"0247";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0147";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"24.0";"0.0";"S";"sols";"None";"None";"555.0";"-1.607544";"48.115662";"000AR"
"2021-147268";"2021-04-23";"1";"Vente en l'état futur d'achèvement";"127813.2";"37.0";"None";"RUE DES ROSES";"0560";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0296";"None";"None";"4";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.609867";"48.114833";"000AR"
"2021-147612";"2021-04-21";"1";"Vente";"310000.0";"15.0";"None";"RUE DU VIEUX CHENE";"0610";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AR0218";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"63.0";"3.0";"S";"sols";"None";"None";"510.0";"-1.608195";"48.116326";"000AR"
