id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149414";"2021-06-29";"1";"Vente";"606000.0";"2.0";"None";"RUE DE LA GRENOUILLAIS";"0220";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0195";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"160.0";"6.0";"S";"sols";"None";"None";"791.0";"-1.61203";"48.115241";"000AS"
"2021-149062";"2021-06-24";"1";"Vente";"571110.0";"18.0";"None";"RUE DES ROSES";"0560";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0245";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"146.0";"5.0";"S";"sols";"None";"None";"329.0";"-1.613566";"48.114969";"000AS"
"2021-149062";"2021-06-24";"1";"Vente";"571110.0";"18.0";"None";"RUE DES ROSES";"0560";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0245";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"329.0";"-1.613566";"48.114969";"000AS"
"2021-149356";"2021-06-17";"1";"Vente";"615000.0";"18.0";"None";"RUE DU VERGER";"0600";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0030";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"147.0";"7.0";"S";"sols";"None";"None";"444.0";"-1.612267";"48.118841";"000AS"
"2021-148761";"2021-06-16";"1";"Vente";"540000.0";"51.0";"None";"RUE DES LILAS";"0400";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0095";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"135.0";"5.0";"S";"sols";"None";"None";"866.0";"-1.609749";"48.117296";"000AS"
"2021-149478";"2021-06-16";"1";"Vente";"656000.0";"10.0";"None";"RUE DES LAURIERS";"0380";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0148";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"5.0";"S";"sols";"None";"None";"679.0";"-1.613282";"48.116495";"000AS"
"2021-149478";"2021-06-16";"1";"Vente";"656000.0";"10.0";"None";"RUE DES LAURIERS";"0380";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0148";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"679.0";"-1.613282";"48.116495";"000AS"
"2021-149478";"2021-06-16";"1";"Vente";"656000.0";"10.0";"None";"RUE DES LAURIERS";"0380";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0146";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"320.0";"-1.61337";"48.116551";"000AS"
"2021-149478";"2021-06-16";"1";"Vente";"656000.0";"10.0";"None";"RUE DES LAURIERS";"0380";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0147";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"165.0";"-1.613416";"48.116552";"000AS"
"2021-146914";"2021-04-09";"1";"Vente";"373000.0";"45.0";"None";"RUE DU MUGUET";"0460";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AS0085";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"58.0";"4.0";"S";"sols";"None";"None";"560.0";"-1.609643";"48.118249";"000AS"
