id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149393";"2021-06-16";"1";"Vente en l'état futur d'achèvement";"309600.0";"47.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0281";"None";"None";"2";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.617015";"48.113879";"000AT"
"2021-149393";"2021-06-16";"1";"Vente en l'état futur d'achèvement";"309600.0";"47.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0281";"None";"None";"28";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.617015";"48.113879";"000AT"
"2021-148013";"2021-05-11";"1";"Vente";"337000.0";"3.0";"None";"RUE DU CHAMP DU MOULIN";"0150";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0180";"None";"None";"2";"nan";"9";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"78.0";"4.0";"None";"None";"None";"None";"nan";"-1.612634";"48.113575";"000AT"
"2021-148013";"2021-05-11";"1";"Vente";"337000.0";"3.0";"None";"RUE DU CHAMP DU MOULIN";"0150";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0180";"None";"None";"25";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.612634";"48.113575";"000AT"
"2021-148013";"2021-05-11";"1";"Vente";"337000.0";"3.0";"None";"RUE DU CHAMP DU MOULIN";"0150";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0180";"None";"None";"24";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.612634";"48.113575";"000AT"
"2021-147799";"2021-05-10";"1";"Vente en l'état futur d'achèvement";"615000.0";"47.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0281";"None";"None";"20";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.617015";"48.113879";"000AT"
"2021-147799";"2021-05-10";"1";"Vente en l'état futur d'achèvement";"615000.0";"47.0";"None";"RUE DE RENNES";"0540";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0281";"None";"None";"13";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.617015";"48.113879";"000AT"
"2021-147098";"2021-04-01";"1";"Vente";"96000.0";"4.0";"None";"RUE DU CHAMP DU MOULIN";"0150";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0035";"None";"None";"2";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"28.0";"1.0";"None";"None";"None";"None";"nan";"-1.613461";"48.113606";"000AT"
"2021-147098";"2021-04-01";"1";"Vente";"96000.0";"4.0";"None";"RUE DU CHAMP DU MOULIN";"0150";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0035";"None";"None";"9";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.613461";"48.113606";"000AT"
"2021-146910";"2021-03-26";"1";"Vente";"360000.0";"7.0";"None";"RUE DU VIADUC";"0605";"35510";"35051";"Cesson-Sévigné";"35";"None";"None";"35051000AT0153";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"108.0";"5.0";"S";"sols";"None";"None";"325.0";"-1.616041";"48.113008";"000AT"
