id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-152774";"2021-06-18";"1";"Vente";"285000.0";"7.0";"None";"RUE DES PEUPLIERS";"0048";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1459";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"138.0";"7.0";"S";"sols";"None";"None";"550.0";"-1.611945";"48.229174";"0000A"
"2021-152874";"2021-06-17";"1";"Vente";"220000.0";"18.0";"None";"LA HAIE DE SAULES";"B266";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0732";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"159.0";"7.0";"P";"prés";"None";"None";"2525.0";"-1.620839";"48.224288";"0000A"
"2021-152874";"2021-06-17";"1";"Vente";"220000.0";"18.0";"None";"LA HAIE DE SAULES";"B266";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0742";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"322.0";"-1.62069";"48.224495";"0000A"
"2021-152874";"2021-06-17";"1";"Vente";"220000.0";"18.0";"None";"LA HAIE DE SAULES";"B266";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0743";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"1650.0";"-1.621144";"48.224849";"0000A"
"2021-151583";"2021-05-07";"1";"Vente";"230000.0";"5307.0";"None";"LE CHEMIN CHAUSSE";"B091";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1229";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"3.0";"T";"terres";"None";"None";"713.0";"-1.594025";"48.231165";"0000A"
"2021-151583";"2021-05-07";"1";"Vente";"230000.0";"5307.0";"None";"LE CHEMIN CHAUSSE";"B091";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1229";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"3.0";"S";"sols";"None";"None";"500.0";"-1.594025";"48.231165";"0000A"
"2021-151160";"2021-03-29";"1";"Vente";"250580.0";"5.0";"None";"IMP SIMONE DE BEAUVOIR";"0072";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1889";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"4.0";"S";"sols";"None";"None";"449.0";"-1.616098";"48.231814";"0000A"
"2021-150019";"2021-01-29";"1";"Vente";"221900.0";"38.0";"None";"RUE CHARLES BAUDELAIRE";"0068";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1731";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"328.0";"-1.616993";"48.230376";"0000A"
"2021-150037";"2021-01-29";"1";"Vente";"280000.0";"15.0";"None";"IMP PAUL VERLAINE";"0073";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1721";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"122.0";"5.0";"S";"sols";"None";"None";"539.0";"-1.61573";"48.229149";"0000A"
"2021-149823";"2021-01-18";"1";"Vente";"190000.0";"34.0";"None";"RUE DES MIMOSAS";"0043";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1574";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"68.0";"3.0";"S";"sols";"None";"None";"300.0";"-1.614814";"48.229241";"0000A"
"2021-149823";"2021-01-18";"1";"Vente";"190000.0";"34.0";"None";"RUE DES MIMOSAS";"0043";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1574";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"68.0";"3.0";"J";"jardins";"POTAG";"Jardin potager";"1229.0";"-1.614814";"48.229241";"0000A"
"2021-149823";"2021-01-18";"1";"Vente";"190000.0";"34.0";"None";"RUE DES MIMOSAS";"0043";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1579";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"120.0";"-1.614602";"48.229057";"0000A"
"2021-149891";"2021-01-13";"1";"Vente";"258000.0";"1.0";"None";"ALL DES PRUNIERS";"0057";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1618";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"101.0";"6.0";"S";"sols";"None";"None";"405.0";"-1.613618";"48.229218";"0000A"
"2020-447917";"2020-12-29";"1";"Vente";"295000.0";"2.0";"None";"RUE ARTHUR RIMBAUD";"0070";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1655";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"105.0";"4.0";"S";"sols";"None";"None";"373.0";"-1.617766";"48.230429";"0000A"
"2020-447917";"2020-12-29";"1";"Vente";"295000.0";"nan";"None";"AU CHAMP MARTIN";"B077";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1665";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"96.0";"-1.617697";"48.230368";"0000A"
"2020-447458";"2020-11-16";"2";"Vente";"1500.0";"nan";"None";"AU BOURG";"B026";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A2074";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10.0";"-1.609149";"48.23159";"0000A"
"2020-445946";"2020-10-02";"1";"Vente";"309700.0";"2.0";"None";"RUE CHARLES BAUDELAIRE";"0068";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1873";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"162.0";"7.0";"AB";"Terrain à bâtir";"None";"None";"386.0";"-1.618181";"48.232232";"0000A"
"2020-445804";"2020-09-25";"2";"Vente";"145000.0";"2.0";"None";"AU RINCHAIS";"B451";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A2070";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"49.0";"2.0";"T";"terres";"None";"None";"1608.0";"-1.604313";"48.229113";"0000A"
"2020-445804";"2020-09-25";"2";"Vente";"145000.0";"2.0";"None";"AU RINCHAIS";"B451";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A2070";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"50.0";"2.0";"T";"terres";"None";"None";"1608.0";"-1.604313";"48.229113";"0000A"
"2020-445308";"2020-08-27";"1";"Vente";"213000.0";"2.0";"None";"IMP PIERRE LOTI";"0050";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1024";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"95.0";"4.0";"S";"sols";"None";"None";"420.0";"-1.612995";"48.23292";"0000A"
"2020-444560";"2020-07-13";"1";"Vente";"373100.0";"4.0";"None";"ALL DES PRUNIERS";"0057";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1597";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"180.0";"6.0";"S";"sols";"None";"None";"446.0";"-1.613529";"48.228524";"0000A"
"2020-444560";"2020-07-13";"1";"Vente";"373100.0";"nan";"None";"L ECOTAY";"B206";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1598";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"488.0";"-1.613591";"48.228242";"0000A"
"2020-444452";"2020-07-08";"1";"Vente";"168000.0";"3.0";"None";"RUE DU CHAMP DE FOIRE";"0062";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0649";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"123.0";"5.0";"S";"sols";"None";"None";"216.0";"-1.608354";"48.231944";"0000A"
"2020-444140";"2020-06-19";"1";"Vente";"194900.0";"17.0";"None";"RUE DES MIMOSAS";"0043";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1615";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"116.0";"5.0";"S";"sols";"None";"None";"403.0";"-1.613387";"48.229589";"0000A"
"2020-443815";"2020-06-03";"1";"Vente";"39500.0";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1937";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"245.0";"-1.616129";"48.232331";"0000A"
"2020-443794";"2020-05-22";"1";"Vente";"220000.0";"8.0";"None";"IMP GEORGE SAND";"0074";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1817";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"98.0";"4.0";"S";"sols";"None";"None";"375.0";"-1.616041";"48.230827";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"5297.0";"None";"AUX RABOTTIERES";"B447";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0548";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"137.0";"5.0";"S";"sols";"None";"None";"155.0";"-1.5926";"48.234182";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"LE PLACIS";"B364";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0550";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"580.0";"-1.592737";"48.234286";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"LES MARRES NOIRES";"B304";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0942";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"312.0";"-1.592422";"48.234457";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"LES MARRES NOIRES";"B304";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0943";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"27.0";"-1.592919";"48.234475";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"AUX RABOTTIERES";"B447";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0975";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"528.0";"-1.592546";"48.234377";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"AUX RABOTTIERES";"B447";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0978";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"2.0";"-1.592506";"48.234145";"0000A"
"2020-443426";"2020-04-30";"1";"Vente";"273421.0";"nan";"None";"AUX RABOTTIERES";"B447";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0979";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"98.0";"-1.592928";"48.234314";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LE GRAND ROTI";"B236";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1682";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"64.0";"-1.618715";"48.23131";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LA SAUDRAIS";"B463";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1960";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"40.0";"-1.61857";"48.231607";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LA PREE DE LA SAUDRAIS";"B431";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1962";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"158.0";"-1.618671";"48.231471";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LA PREE DE LA SAUDRAIS";"B431";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1963";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"195.0";"-1.618664";"48.231207";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LE CHAMP DY";"B071";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1965";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"583.0";"-1.618244";"48.230493";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1966";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10850.0";"-1.617396";"48.231472";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1969";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1641.0";"nan";"nan";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1983";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"168.0";"nan";"nan";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1984";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"612.0";"nan";"nan";"0000A"
"2020-443134";"2020-03-17";"1";"Vente";"nan";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1986";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"75.0";"nan";"nan";"0000A"
"2020-443069";"2020-03-11";"1";"Vente";"237000.0";"5229.0";"None";"AU CHAMP MARTIN";"B077";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0796";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"163.0";"7.0";"J";"jardins";"POTAG";"Jardin potager";"700.0";"-1.619445";"48.2263";"0000A"
"2020-443069";"2020-03-11";"1";"Vente";"237000.0";"5229.0";"None";"AU CHAMP MARTIN";"B077";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0796";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"163.0";"7.0";"S";"sols";"None";"None";"300.0";"-1.619445";"48.2263";"0000A"
"2020-442535";"2020-02-13";"1";"Vente";"204000.0";"3.0";"None";"RUE CHATEAUBRIAND";"0009";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1005";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"102.0";"5.0";"S";"sols";"None";"None";"488.0";"-1.61194";"48.232487";"0000A"
"2020-442495";"2020-02-10";"1";"Vente";"185000.0";"10.0";"None";"RUE JACQUES PREVERT";"0067";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1744";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"88.0";"4.0";"S";"sols";"None";"None";"280.0";"-1.615764";"48.231834";"0000A"
"2020-442656";"2020-02-06";"1";"Vente";"388.5";"nan";"None";"LA CLOTURE";"B168";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A2041";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"46.0";"-1.618986";"48.219629";"0000A"
"2020-442656";"2020-02-06";"1";"Vente";"388.5";"nan";"None";"LA CLOTURE";"B168";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A2046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"65.0";"-1.618916";"48.219627";"0000A"
"2020-442567";"2020-01-29";"1";"Vente";"252000.0";"46.0";"None";"RUE CHARLES BAUDELAIRE";"0068";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1727";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"116.0";"5.0";"S";"sols";"None";"None";"375.0";"-1.616258";"48.23015";"0000A"
"2020-442205";"2020-01-27";"1";"Vente";"40500.0";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1933";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"243.0";"-1.616694";"48.232412";"0000A"
"2020-442294";"2020-01-23";"1";"Vente";"210600.0";"6.0";"None";"IMP GEORGE SAND";"0074";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1818";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"110.0";"4.0";"S";"sols";"None";"None";"251.0";"-1.616175";"48.230879";"0000A"
"2020-442140";"2020-01-17";"1";"Vente";"101500.0";"5.0";"None";"IMP WILLIAM MARCHANT";"0076";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1857";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"140.0";"6.0";"S";"sols";"None";"None";"506.0";"-1.605393";"48.23162";"0000A"
"2020-442140";"2020-01-17";"1";"Vente";"101500.0";"5.0";"None";"IMP WILLIAM MARCHANT";"0076";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1846";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"BP";"peupleraies";"None";"None";"1396.0";"-1.605425";"48.23201";"0000A"
"2020-442140";"2020-01-17";"1";"Vente";"101500.0";"5.0";"None";"IMP WILLIAM MARCHANT";"0076";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1862";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"510.0";"-1.605536";"48.2317";"0000A"
"2020-442140";"2020-01-17";"1";"Vente";"101500.0";"5.0";"None";"IMP WILLIAM MARCHANT";"0076";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1947";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"300.0";"-1.605564";"48.231887";"0000A"
"2020-442021";"2020-01-14";"1";"Vente";"70500.0";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1890";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"449.0";"-1.61608";"48.231948";"0000A"
"2019-534820";"2019-12-28";"1";"Vente";"245000.0";"5176.0";"None";"LA JARDIERE";"B285";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0748";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"132.0";"6.0";"T";"terres";"None";"None";"3000.0";"-1.607167";"48.216747";"0000A"
"2019-534820";"2019-12-28";"1";"Vente";"245000.0";"nan";"None";"LA BONNAIS";"B024";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A0861";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"601.0";"-1.607105";"48.216829";"0000A"
"2019-534047";"2019-11-13";"1";"Vente";"280583.0";"28.0";"None";"RUE CHARLES BAUDELAIRE";"0068";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1656";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"118.0";"5.0";"S";"sols";"None";"None";"518.0";"-1.618123";"48.230551";"0000A"
"2019-534156";"2019-11-08";"1";"Vente";"260500.0";"9.0";"None";"RUE DES MIMOSAS";"0043";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1177";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"5.0";"S";"sols";"None";"None";"595.0";"-1.612172";"48.230262";"0000A"
"2019-534156";"2019-11-08";"1";"Vente";"260500.0";"nan";"None";"LES COTEAUX DE L ILLET";"B491";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"22.0";"-1.611972";"48.230431";"0000A"
"2019-533575";"2019-10-01";"1";"Vente";"287000.0";"2.0";"None";"ALL MERISIERS";"0059";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1989";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"158.0";"7.0";"S";"sols";"None";"None";"572.0";"-1.612166";"48.229479";"0000A"
"2019-533575";"2019-10-01";"1";"Vente";"287000.0";"nan";"None";"LES COTEAUX DE L ILLET";"B491";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1991";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"143.0";"-1.612066";"48.229628";"0000A"
"2019-533186";"2019-09-19";"1";"Vente";"39500.0";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1934";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"244.0";"-1.616563";"48.232393";"0000A"
"2019-533177";"2019-09-18";"1";"Vente";"51000.0";"nan";"None";"LOT LE HAUT BOURG";"A005";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1939";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"318.0";"-1.615826";"48.232292";"0000A"
"2019-533170";"2019-09-12";"1";"Vente";"343950.0";"28.0";"None";"RUE DE LA FONTAINE";"0075";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1767";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"179.0";"6.0";"S";"sols";"None";"None";"405.0";"-1.610045";"48.232695";"0000A"
"2019-533100";"2019-08-28";"1";"Vente";"224000.0";"1.0";"None";"RUE EMILE ZOLA";"0013";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1008";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"5.0";"S";"sols";"None";"None";"611.0";"-1.612346";"48.232446";"0000A"
"2019-532817";"2019-08-23";"1";"Vente";"252000.0";"3.0";"None";"ALL DES POIRIERS";"0055";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1613";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"118.0";"6.0";"S";"sols";"None";"None";"548.0";"-1.613254";"48.229359";"0000A"
"2019-533033";"2019-08-23";"1";"Vente";"259605.0";"26.0";"None";"RUE DE LA FONTAINE";"0075";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1766";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"121.0";"5.0";"S";"sols";"None";"None";"415.0";"-1.610242";"48.232722";"0000A"
"2019-532704";"2019-08-12";"1";"Vente";"235500.0";"1.0";"None";"RUE DES PEUPLIERS";"0048";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1138";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"143.0";"7.0";"S";"sols";"None";"None";"353.0";"-1.611206";"48.229505";"0000A"
"2019-532704";"2019-08-12";"1";"Vente";"235500.0";"nan";"None";"LES COTEAUX DE L ILLET";"B491";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1137";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"15.0";"-1.611028";"48.229439";"0000A"
"2019-532704";"2019-08-12";"1";"Vente";"235500.0";"nan";"None";"LES COTEAUX DE L ILLET";"B491";"35250";"35197";"Mouazé";"35";"None";"None";"351970000A1139";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"254.0";"-1.611135";"48.229397";"0000A"
