id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-152103";"2021-06-01";"1";"Vente";"345000.0";"137.0";"None";"LANDE DE SAINT DENIS";"B194";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1600";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"124.0";"4.0";"AG";"terrains d'agrément";"None";"None";"500.0";"-1.595074";"48.202062";"0000A"
"2021-152103";"2021-06-01";"1";"Vente";"345000.0";"137.0";"None";"LANDE DE SAINT DENIS";"B194";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1600";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"124.0";"4.0";"S";"sols";"None";"None";"500.0";"-1.595074";"48.202062";"0000A"
"2021-152103";"2021-06-01";"1";"Vente";"345000.0";"nan";"None";"LANDE DE SAINT DENIS";"B194";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1598";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"93.0";"-1.595558";"48.202153";"0000A"
"2021-152087";"2021-05-18";"1";"Vente";"215000.0";"6.0";"None";"A CHAMPIE";"B070";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1615";"None";"None";"2";"104.86";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"136.0";"4.0";"None";"None";"None";"None";"nan";"-1.568427";"48.218148";"0000A"
"2021-150850";"2021-03-15";"1";"Vente";"266000.0";"9.0";"None";"LE TRONCHAY";"B291";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1749";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"140.0";"5.0";"S";"sols";"None";"None";"784.0";"-1.590966";"48.210885";"0000A"
"2021-150704";"2021-03-08";"1";"Vente";"210000.0";"4.0";"None";"RUE DE LA VOIE ROMAINE";"0309";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1773";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"67.0";"0.0";"S";"sols";"None";"None";"520.0";"-1.589465";"48.213365";"0000A"
"2021-150704";"2021-03-08";"1";"Vente";"210000.0";"nan";"None";"LE CLOS CARRE";"B080";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1775";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"98.0";"-1.589391";"48.213494";"0000A"
"2021-150048";"2021-01-14";"1";"Vente";"305000.0";"1.0";"None";"L OLIVERIE";"B215";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1484";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"135.0";"5.0";"AG";"terrains d'agrément";"None";"None";"1000.0";"-1.595804";"48.201374";"0000A"
"2021-150048";"2021-01-14";"1";"Vente";"305000.0";"1.0";"None";"L OLIVERIE";"B215";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1484";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"135.0";"5.0";"S";"sols";"None";"None";"750.0";"-1.595804";"48.201374";"0000A"
"2020-446317";"2020-10-19";"1";"Vente";"70000.0";"nan";"None";"JARDIN BAS";"B177";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A0191";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"945.0";"-1.576577";"48.219339";"0000A"
"2020-446317";"2020-10-19";"1";"Vente";"70000.0";"nan";"None";"JARDIN BAS";"B177";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1410";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"5421.0";"-1.57638";"48.219832";"0000A"
"2020-446317";"2020-10-19";"1";"Vente";"70000.0";"nan";"None";"L ABBAYE";"B001";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1412";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"904.0";"-1.576114";"48.219371";"0000A"
"2019-534861";"2019-12-23";"1";"Vente";"35193.6";"nan";"None";"LE CLOS CARRE";"B080";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1799";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"1222.0";"-1.58902";"48.213538";"0000A"
"2019-534971";"2019-12-23";"1";"Vente";"nan";"nan";"None";"LA CRUERE";"B141";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1675";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"495.0";"-1.565312";"48.228369";"0000A"
"2019-534624";"2019-12-09";"2";"Vente";"335.0";"nan";"None";"LA LANDE";"B190";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1009";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"25.0";"-1.561845";"48.217088";"0000A"
"2019-534624";"2019-12-09";"2";"Vente";"335.0";"1.0";"None";"LA LOGE";"B201";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1832";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"42.0";"-1.561709";"48.217045";"0000A"
"2019-534561";"2019-12-06";"1";"Vente";"240000.0";"127.0";"None";"LANDE DE SAINT DENIS";"B194";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1780";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"5.0";"S";"sols";"None";"None";"500.0";"-1.593868";"48.202723";"0000A"
"2019-534561";"2019-12-06";"1";"Vente";"240000.0";"127.0";"None";"LANDE DE SAINT DENIS";"B194";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"353150000A1780";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"114.0";"5.0";"AG";"terrains d'agrément";"None";"None";"601.0";"-1.593868";"48.202723";"0000A"
