id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-446858";"2020-11-17";"2";"Vente";"71280.0";"6.0";"None";"RUE NAISE";"0024";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0133";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"34.0";"-1.58147";"48.217938";"000AA"
"2020-446317";"2020-10-19";"1";"Vente";"70000.0";"nan";"None";"CHAMP DE LA MAGDELAINE";"B043";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0002";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"111.0";"-1.576733";"48.21925";"000AA"
"2020-446139";"2020-10-09";"1";"Vente";"392000.0";"1.0";"None";"COURTIL DES PONCEAUX";"B133";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0170";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"147.0";"5.0";"S";"sols";"None";"None";"738.0";"-1.580459";"48.220612";"000AA"
"2020-443731";"2020-05-20";"1";"Vente";"128900.0";"13.0";"None";"RUE NAISE";"0024";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0086";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"67.0";"2.0";"S";"sols";"None";"None";"207.0";"-1.581317";"48.217468";"000AA"
"2020-442605";"2020-02-07";"1";"Vente";"171000.0";"17.0";"None";"RUE NAISE";"0024";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0154";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"70.0";"3.0";"S";"sols";"None";"None";"175.0";"-1.581345";"48.217312";"000AA"
"2020-442371";"2020-02-05";"1";"Vente";"114000.0";"8.0";"None";"RUE DU CHAMP THEBAULT";"0025";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0147";"None";"None";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"50.0";"3.0";"None";"None";"None";"None";"nan";"-1.581725";"48.218625";"000AA"
"2020-442371";"2020-02-05";"1";"Vente";"114000.0";"8.0";"None";"RUE DU CHAMP THEBAULT";"0025";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0147";"None";"None";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.581725";"48.218625";"000AA"
"2020-442306";"2020-01-28";"1";"Vente";"120100.0";"21.0";"None";"RUE NAISE";"0024";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0227";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"64.0";"3.0";"S";"sols";"None";"None";"191.0";"-1.58138";"48.217094";"000AA"
"2020-442306";"2020-01-28";"1";"Vente";"120100.0";"21.0";"None";"RUE NAISE";"0024";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0225";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"93.0";"-1.581139";"48.217055";"000AA"
"2019-534245";"2019-11-26";"1";"Vente";"5500.0";"nan";"None";"PRE D AHAUT";"B255";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AA0035";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"P";"prés";"None";"None";"4767.0";"-1.577512";"48.217208";"000AA"
