id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-151712";"2021-04-29";"1";"Vente";"213650.0";"6.0";"None";"RUE LUCIE AUBRAC";"0037";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0551";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"81.0";"4.0";"S";"sols";"None";"None";"273.0";"-1.577526";"48.214019";"000AB"
"2021-151712";"2021-04-29";"1";"Vente";"213650.0";"6.0";"None";"RUE LUCIE AUBRAC";"0037";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0574";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1.0";"-1.577439";"48.21415";"000AB"
"2021-151711";"2021-04-23";"1";"Vente terrain à bâtir";"78000.0";"2.0";"B";"ALL GUILLEMETTE DE MILON";"0005";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0639";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"418.0";"-1.576203";"48.214764";"000AB"
"2021-151553";"2021-04-14";"1";"Vente";"228000.0";"2.0";"None";"RUE MARYSE BASTIE";"0030";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0567";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"87.0";"4.0";"AB";"Terrain à bâtir";"None";"None";"317.0";"-1.577468";"48.213447";"000AB"
"2021-149874";"2021-01-14";"1";"Vente";"42500.0";"nan";"None";"LA RUE";"B277";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0644";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"238.0";"-1.578931";"48.211966";"000AB"
"2020-447461";"2020-11-13";"1";"Vente";"200000.0";"12.0";"None";"RUE DES CROISETTES";"0006";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0250";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"93.0";"5.0";"S";"sols";"None";"None";"524.0";"-1.586232";"48.212625";"000AB"
"2020-446637";"2020-11-02";"1";"Vente";"234500.0";"4.0";"None";"ALL DES BASTILLES";"0001";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0097";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"379.0";"-1.581069";"48.214478";"000AB"
"2020-444537";"2020-07-06";"1";"Vente";"210000.0";"4.0";"None";"ALL DES COURTILS";"0002";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0120";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"81.0";"4.0";"S";"sols";"None";"None";"421.0";"-1.580391";"48.214077";"000AB"
"2020-444284";"2020-06-08";"1";"Vente";"476.0";"nan";"None";"LA RANSONIERE";"B275";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0501";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"952.0";"-1.584801";"48.214912";"000AB"
"2020-444029";"2020-05-18";"1";"Vente";"190000.0";"3.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0633";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"222.0";"-1.579";"48.21239";"000AB"
"2020-443526";"2020-05-11";"1";"Vente";"184270.0";"4.0";"None";"RUE EDITH PIAF";"0036";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0625";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"94.0";"5.0";"S";"sols";"None";"None";"223.0";"-1.578092";"48.21353";"000AB"
"2020-443526";"2020-05-11";"1";"Vente";"184270.0";"nan";"None";"LE CHAMP DE LA RUE";"B046";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0612";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"18.0";"-1.578121";"48.21333";"000AB"
"2020-442533";"2020-02-18";"1";"Vente";"375000.0";"10.0";"T";"ALL DES BASTILLES";"0001";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0436";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"200.0";"7.0";"S";"sols";"None";"None";"840.0";"-1.580198";"48.215269";"000AB"
"2020-442533";"2020-02-18";"1";"Vente";"375000.0";"nan";"None";"ALL DES BASTILLES";"0001";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0439";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"60.0";"-1.580083";"48.215145";"000AB"
"2020-442562";"2020-02-05";"1";"Vente";"190000.0";"2.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0632";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"222.0";"-1.579107";"48.212401";"000AB"
"2020-442293";"2020-01-27";"1";"Vente";"190000.0";"8.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0638";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"205.0";"-1.578892";"48.212098";"000AB"
"2020-442189";"2020-01-13";"1";"Vente";"200000.0";"18.0";"None";"ALL DES BASTILLES";"0001";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0104";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"230.0";"-1.580422";"48.214777";"000AB"
"2020-442088";"2020-01-10";"1";"Vente";"186000.0";"6.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0636";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"199.0";"-1.57913";"48.212152";"000AB"
"2020-442085";"2020-01-08";"1";"Vente";"190000.0";"1.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0631";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"303.0";"-1.579228";"48.212414";"000AB"
"2020-442084";"2020-01-07";"1";"Vente";"190000.0";"4.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0634";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"103.0";"5.0";"S";"sols";"None";"None";"222.0";"-1.578915";"48.212413";"000AB"
"2020-442079";"2020-01-06";"1";"Vente";"190000.0";"5.0";"None";"RUE GEORGE SAND";"0032";"35250";"35315";"Saint-Sulpice-la-Forêt";"35";"None";"None";"35315000AB0635";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"256.0";"-1.579274";"48.212169";"000AB"
